Player,Stats
Jordan Swarbrick,"[[[65.0, 7.1, 1.5, 205.6, 7.9, 100.0, 101.3, 6.4, 9.6, 0.0, 0.0, 0.0, 0.0, 66.7, 1.0, 0.0, 0.0, 6.583333333333333], '20081101-20081114']]"
Jerome Dyson,"[[[77.5, 7.0, 23.3, 149.2, 23.9, 70.8, 70.7, 0.0, 6.3, 34.0, 0.0, 0.0, 5.2, 75.0, 0.5, 6.9, 0.75, 6.25], '20081101-20081114']]"
Ryan Thompson,"[[[100.0, 7.0, 10.3, 129.9, 20.6, 68.2, 73.6, 6.8, 11.5, 21.4, 21.6, 0.0, 1.5, 36.4, 0.6, 1.5, 1.0, 6.5], '20081101-20081114']]"
Ryan Toolson,"[[[95.0, 6.9, 3.0, 120.2, 35.8, 38.2, 52.9, 4.4, 6.6, 26.8, 4.9, 0.0, 1.7, 58.8, 0.417, 8.9, 0.2, 6.333333333333333], '20081101-20081114']]"
Darrin Govens,"[[[97.5, 6.9, 11.8, 144.2, 18.5, 63.6, 68.6, 0.0, 2.3, 21.8, 0.0, 0.0, 4.7, 54.5, 0.667, 7.8, 0.4, 6.083333333333333], '20081101-20081114']]"
Julyan Stone,"[[[92.5, 6.9, 13.5, 159.8, 16.5, 85.7, 77.7, 0.0, 17.0, 30.7, 0.0, 1.9, 3.0, 157.1, 0.6, 3.0, 1.0, 6.583333333333333], '20081101-20081114']]"
Robert Glenn,"[[[57.5, 6.9, 19.9, 142.1, 33.0, 83.3, 84.6, 9.9, 5.8, 0.0, 17.6, 12.4, 2.9, 183.3, 0.833, 0.0, 0.0, 6.583333333333333], '20081101-20081114']]"
Nick Taylor,"[[[87.5, 6.8, 11.8, 159.6, 17.9, 75.0, 70.7, 0.0, 11.1, 40.0, 0.0, 0.0, 2.0, 50.0, 0.75, 7.9, 0.5, 5.833333333333333], '20081101-20081114']]"
Curtis White,"[[[55.0, 6.8, 29.8, 149.2, 30.5, 75.0, 69.0, 0.0, 11.7, 93.5, 0.0, 0.0, 3.5, 37.5, 0.0, 28.3, 0.5, 6.333333333333333], '20081101-20081114']]"
Blake Griffin,"[[[82.5, 6.8, 17.2, 132.8, 24.9, 86.4, 68.0, 8.1, 49.7, 7.1, 0.0, 3.2, 1.8, 127.3, 0.8, 1.7, 1.0, 6.833333333333333], '20081101-20081114']]"
Chris Kellermann,"[[[87.5, 6.8, 18.2, 124.3, 31.4, 57.5, 61.3, 5.6, 38.1, 13.1, 10.4, 0.0, 1.6, 30.0, 0.5, 19.6, 0.417, 6.666666666666667], '20081101-20081114']]"
Michael Washington,"[[[91.1, 6.7, 9.2, 132.9, 24.2, 65.6, 63.6, 8.6, 25.5, 0.0, 0.0, 2.0, 0.0, 100.0, 0.643, 2.4, 0.5, 6.75], '20081101-20081114']]"
Alex Young,"[[[60.0, 6.7, 16.5, 140.1, 31.5, 65.0, 68.7, 19.0, 11.1, 16.7, 8.8, 6.0, 0.0, 50.0, 1.0, 13.9, 0.2, 6.5], '20081101-20081114']]"
Johnny Wolf,"[[[84.4, 6.7, 9.0, 148.3, 22.3, 61.8, 68.0, 4.7, 3.1, 23.2, 0.0, 3.4, 1.2, 35.3, 0.333, 9.6, 0.625, 6.166666666666667], '20081101-20081114']]"
Kurtis Woods,"[[[62.5, 6.6, 23.0, 186.8, 15.1, 121.4, 119.5, 0.0, 10.7, 22.4, 16.2, 0.0, 4.9, 28.6, 1.0, 14.6, 0.833, 6.25], '20081101-20081114']]"
Spencer Laurie,"[[[85.0, 6.5, 6.2, 127.2, 21.0, 77.8, 77.8, 0.0, 24.3, 25.0, 27.5, 0.0, 1.9, 0.0, 0.5, 13.5, 0.571, 6.083333333333333], '20081101-20081114']]"
Michael Clark,"[[[95.0, 6.5, 4.6, 128.0, 18.2, 63.6, 64.4, 6.0, 5.0, 17.8, 17.3, 0.0, 0.0, 27.3, 0.333, 12.6, 0.5, 6.25], '20081101-20081114']]"
Aaron Jackson,"[[[67.5, 6.5, 18.3, 155.5, 21.7, 42.9, 64.8, 13.9, 13.1, 40.6, 8.5, 0.0, 5.8, 114.3, 0.5, 1.8, 0.0, 6.333333333333333], '20081101-20081114']]"
Eric Moore,"[[[67.5, 6.5, 14.1, 127.6, 28.1, 65.0, 68.7, 5.3, 9.6, 32.7, 15.6, 0.0, 4.3, 50.0, 0.5, 13.1, 0.5, 6.583333333333333], '20081101-20081114']]"
Edvinas Ruzgas,"[[[92.5, 6.4, 9.2, 156.2, 12.2, 100.0, 94.4, 0.0, 9.0, 11.7, 13.5, 0.0, 0.0, 12.5, 1.0, 9.9, 0.667, 6.5], '20081101-20081114']]"
Terrel Harris,"[[[72.5, 6.4, 15.4, 141.8, 25.7, 75.0, 74.5, 4.4, 25.9, 8.1, 8.3, 0.0, 4.4, 25.0, 0.75, 8.5, 0.5, 6.416666666666667], '20081101-20081114']]"
Ken Horton,"[[[87.5, 6.4, 5.5, 126.9, 25.4, 56.7, 58.8, 3.9, 3.1, 0.0, 6.9, 2.6, 0.0, 40.0, 0.636, 7.0, 0.25, 6.5], '20081101-20081114']]"
Joe Dukes,"[[[82.2, 6.2, 13.8, 121.0, 29.5, 60.7, 59.3, 13.5, 27.8, 59.8, 16.4, 0.0, 3.2, 42.9, 0.583, 3.2, 0.5, 6.083333333333333], '20081101-20081114']]"
James Hett,"[[[100.0, 6.2, -0.2, 148.6, 17.3, 60.0, 76.4, 3.0, 10.3, 38.1, 19.9, 0.0, 0.0, 120.0, 0.75, 1.7, 0.0, 6.0], '20081101-20081114']]"
Jake Kelly,"[[[50.0, 6.2, 24.0, 203.8, 15.5, 100.0, 100.0, 0.0, 5.4, 37.5, 0.0, 0.0, 3.6, 0.0, 0.667, 7.2, 1.0, 6.5], '20081101-20081114']]"
JaJuan Johnson,"[[[60.0, 6.2, 9.8, 156.7, 19.7, 75.0, 78.3, 8.3, 9.0, 0.0, 0.0, 4.4, 0.0, 75.0, 0.75, 0.0, 0.0, 6.833333333333333], '20081101-20081114']]"
D.J. Kennedy,"[[[82.5, 6.1, 14.8, 140.2, 22.8, 64.3, 66.4, 8.3, 12.1, 8.5, 0.0, 0.0, 3.3, 50.0, 0.75, 9.8, 0.333, 6.416666666666667], '20081101-20081114']]"
Andre McFarland,"[[[60.0, 6.1, 9.8, 191.1, 8.6, 90.0, 90.0, 0.0, 7.6, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 12.3, 0.6, 6.5], '20081101-20081114']]"
Darren Collison,"[[[80.0, 6.1, 15.4, 130.6, 24.9, 65.0, 70.7, 4.0, 7.1, 21.9, 22.6, 2.0, 4.7, 50.0, 0.588, 2.8, 0.667, 6.083333333333333], '20081101-20081114']]"
Jodie Meeks,"[[[85.0, 6.0, 5.2, 122.1, 34.4, 53.7, 59.6, 6.4, 5.9, 5.0, 18.1, 0.0, 3.8, 44.4, 0.625, 13.7, 0.273, 6.416666666666667], '20081101-20081114']]"
Trent Meacham,"[[[70.0, 6.0, 18.6, 154.5, 18.1, 83.3, 86.3, 0.0, 10.5, 9.3, 11.8, 0.0, 2.1, 33.3, 0.6, 8.5, 0.75, 6.25], '20081101-20081114']]"
Dionte Christmas,"[[[100.0, 5.9, 15.7, 120.4, 23.5, 71.9, 69.0, 2.2, 20.8, 30.0, 21.2, 0.0, 2.6, 37.5, 0.667, 12.5, 0.5, 6.5], '20081101-20081114']]"
Justin Stommes,"[[[75.0, 5.9, 16.9, 152.6, 17.1, 87.5, 89.4, 0.0, 25.0, 0.0, 13.9, 4.2, 2.4, 25.0, 1.0, 16.6, 0.571, 6.583333333333333], '20081101-20081114']]"
Chester Frazier,"[[[72.5, 5.9, 20.1, 146.7, 20.2, 50.0, 63.3, 8.6, 10.1, 27.8, 0.0, 3.8, 4.1, 150.0, 0.75, 4.1, 0.0, 6.166666666666667], '20081101-20081114']]"
Korvotney Barber,"[[[77.5, 5.9, 10.0, 129.2, 25.7, 71.4, 71.3, 17.8, 4.3, 8.5, 14.9, 11.7, 2.1, 21.4, 0.714, 0.0, 0.0, 6.583333333333333], '20081101-20081114']]"
Rakim Sanders,"[[[75.0, 5.9, 17.8, 137.4, 28.2, 81.8, 81.1, 14.4, 13.8, 0.0, 21.0, 7.4, 4.0, 72.7, 0.75, 5.9, 0.667, 6.416666666666667], '20081101-20081114']]"
Matthew Dotson,"[[[52.5, 5.9, 12.3, 210.2, 7.3, 112.5, 112.5, 0.0, 18.1, 11.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.5, 1.0, 6.666666666666667], '20081101-20081114']]"
Wesley Matthews,"[[[77.5, 5.9, 23.6, 132.9, 32.1, 72.7, 80.8, 3.6, 14.3, 41.3, 25.1, 0.0, 8.1, 109.1, 0.625, 4.8, 0.667, 6.416666666666667], '20081101-20081114']]"
Josh Thornton,"[[[75.0, 5.8, 14.6, 136.2, 23.0, 70.6, 70.6, 3.4, 8.7, 15.7, 0.0, 0.0, 3.5, 0.0, 0.5, 19.3, 0.545, 6.166666666666667], '20081101-20081114']]"
Dodie Dunson,"[[[92.5, 5.8, 11.0, 128.6, 21.2, 50.0, 62.9, 2.6, 7.9, 0.0, 7.0, 0.0, 1.6, 109.1, 0.25, 10.4, 0.429, 6.25], '20081101-20081114']]"
Joe Trapani,"[[[65.0, 5.7, 15.8, 153.1, 23.1, 66.7, 65.3, 16.6, 26.5, 43.3, 9.8, 0.0, 0.0, 22.2, 0.5, 6.8, 0.667, 6.666666666666667], '20081101-20081114']]"
Michael Freeman,"[[[70.0, 5.7, 8.4, 149.7, 14.2, 58.3, 69.6, 0.0, 17.9, 12.2, 0.0, 0.0, 2.2, 66.7, 0.5, 4.5, 0.5, 6.666666666666667], '20081101-20081114']]"
DeShawn Sims,"[[[80.0, 5.7, 0.9, 117.3, 30.3, 50.0, 54.5, 25.0, 8.5, 0.0, 13.8, 3.7, 4.2, 18.8, 0.571, 4.2, 0.0, 6.666666666666667], '20081101-20081114']]"
Trey Blue,"[[[75.0, 5.6, 19.7, 122.7, 29.5, 73.3, 75.2, 3.3, 10.3, 47.1, 17.9, 0.0, 1.8, 13.3, 0.5, 19.4, 0.545, 6.25], '20081101-20081114']]"
Evaldas Baniulis,"[[[65.0, 5.6, 9.7, 178.7, 11.0, 91.7, 84.9, 4.4, 21.5, 16.6, 0.0, 0.0, 0.0, 16.7, 1.0, 9.7, 0.6, 6.583333333333333], '20081101-20081114']]"
