RK,PLAYER,,,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,,3P/100,3P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sr,6-8,Stefan Todorovic,Pepperdine,WCC,93.5,9.7,13.0,157.9,23.7,86.0,86.4,2.2,14.3,19.6,9.6,0.0,0.0,72.0,11-13,0.846,9.1,7-12,0.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sr,6-5,Mitch Mascari,Drake,MVC,97.8,9.0,21.4,156.3,18.6,92.3,93.2,0.0,12.0,23.9,17.3,0.0,3.4,15.4,0-0,0.000,20.9,8-13,0.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sr,6-1,Donovan Newby,UNC Wilmington,CAA,86.0,8.6,12.1,151.1,27.9,63.6,78.7,0.0,6.0,16.6,10.7,0.0,1.5,190.9,4-4,1.000,10.4,2-7,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sr,6-5,Anthony Roy,Green Bay,Horz,89.0,8.6,14.5,148.9,27.0,84.4,85.6,3.5,14.3,29.6,15.6,0.0,2.1,24.4,11-13,0.846,16.8,18-32,0.563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sr,7-1,Ryan Kalkbrenner,Creighton,BE,66.9,8.5,27.5,179.7,22.6,96.1,95.6,13.4,14.7,10.5,5.9,11.1,0.7,47.4,32-35,0.914,2.0,3-3,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sr,6-8,Eric Dixon,Villanova,BE,62.1,8.4,17.0,153.1,27.9,65.3,70.4,16.6,15.3,11.0,6.4,0.0,2.4,30.6,17-30,0.567,11.4,10-19,0.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sr,6-2,John Buggs III,East Tennessee St.,SC,85.7,8.4,5.1,185.8,12.7,72.7,72.7,6.0,6.9,0.0,0.0,0.0,0.0,0.0,2-3,0.667,14.0,4-8,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sr,6-2,Chance McMillian,Texas Tech,B12,82.0,8.4,15.6,180.5,13.3,93.5,92.4,2.9,12.4,13.2,9.0,1.0,3.0,17.4,8-10,0.800,7.7,9-13,0.692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,So,6-6,Kellen Thames,Saint Louis,A10,76.0,8.2,9.4,170.6,14.4,77.8,80.4,4.2,19.3,6.2,0.0,0.0,0.0,22.2,4-5,0.800,7.2,2-4,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sr,6-3,Will Johnston,Loyola Marymount,WCC,82.0,8.2,8.8,168.0,11.0,85.7,85.7,0.0,8.7,24.2,0.0,0.0,0.0,0.0,0-1,0.000,10.7,4-6,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
