RK,PLAYER,,,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,,3P/100,3P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Fr,6-9,Cooper Flagg,Duke,ACC,64.1,6.9,18.1,152.1,25.9,58.8,64.1,5.0,26.1,28.3,3.5,2.7,3.2,31.6,26-45,0.578,5.5,5-12,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Fr,6-11,Asa Newell,Georgia,SEC,77.6,6.9,12.1,136.0,22.6,65.1,66.0,12.6,15.2,9.9,8.3,5.3,1.4,41.9,19-28,0.679,7.1,6-15,0.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Sr,6-8,Ian Schieffelin,Clemson,ACC,78.3,6.9,15.5,147.4,20.1,78.9,81.6,11.8,25.4,13.0,15.0,0.9,2.5,23.7,21-29,0.724,4.5,6-9,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Fr,6-9,Morez Johnson Jr.,Illinois,B10,15.7,6.9,19.2,139.2,23.9,75.0,75.1,13.2,9.0,0.0,9.6,6.9,4.6,87.5,6-8,0.750,0.0,0-0,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Jr,6-2,Bruce Thornton,Ohio St.,B10,93.9,6.9,8.4,126.4,21.9,49.1,55.4,0.0,9.8,28.9,3.6,0.0,2.4,34.5,18-36,0.500,7.6,6-19,0.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Jr,6-6,Barry Dunning Jr.,South Alabama,SB,91.8,6.8,12.5,132.4,28.4,64.7,67.0,10.6,14.1,17.8,11.6,0.8,3.3,37.2,22-45,0.489,10.9,19-33,0.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,So,5-11,Josh Hubbard,Mississippi St.,SEC,87.2,6.8,8.3,123.1,26.8,50.0,59.3,0.6,9.3,21.7,11.8,0.8,2.5,48.7,17-31,0.548,14.3,14-45,0.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Sr,6-1,LJ Cryer,Houston,B12,85.8,6.8,11.2,128.7,22.9,64.2,66.9,1.6,8.2,16.5,12.9,0.0,1.1,15.0,16-25,0.640,13.0,15-35,0.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Sr,6-10,Johni Broome,Auburn,SEC,83.0,6.7,13.4,120.9,29.3,52.9,55.3,11.0,27.7,21.1,8.0,3.9,1.3,58.6,31-57,0.544,4.4,4-13,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Sr,6-8,Eric Dixon,Villanova,BE,90.3,6.7,9.1,117.2,34.2,55.4,60.4,3.6,20.1,17.5,10.5,0.7,1.1,43.4,25-50,0.500,11.8,14-33,0.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Fr,6-3,Jase Richardson,Michigan St.,B10,75.6,6.7,13.9,139.2,19.4,54.8,60.6,5.0,13.8,7.9,0.0,1.2,2.5,33.3,17-31,0.548,5.6,4-11,0.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Fr,6-7,Kon Knueppel,Duke,ACC,71.0,6.7,12.5,153.1,20.3,63.0,69.3,10.8,9.9,12.0,8.2,0.8,2.9,37.0,14-26,0.538,8.3,10-20,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Sr,6-2,Nolan Hickman,Gonzaga,WCC,75.9,6.6,13.3,150.2,17.9,70.8,73.1,0.9,5.5,17.1,4.1,1.4,1.9,15.1,18-26,0.692,10.0,13-27,0.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Sr,6-2,Chucky Hepburn,Louisville,ACC,90.6,6.6,11.3,121.4,30.8,67.4,74.1,0.9,7.8,26.7,23.1,0.8,4.7,89.1,16-25,0.640,8.3,10-21,0.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Sr,6-6,Trenton McLaughlin,Northern Arizona,BSky,97.6,6.5,13.2,128.0,30.7,62.3,64.6,1.5,10.2,23.1,11.1,2.4,5.8,28.6,21-42,0.500,13.3,18-35,0.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Sr,6-6,Paul Zilinskas,IU Indy,Horz,82.1,6.5,6.3,140.3,26.2,62.5,68.2,0.9,13.0,20.4,7.3,1.8,0.9,32.1,17-27,0.630,13.8,12-29,0.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Sr,6-4,Chase Forte,South Dakota,Sum,76.5,6.5,13.1,135.2,31.8,61.5,66.0,8.9,14.4,29.1,8.8,1.3,2.8,41.0,33-55,0.600,8.0,10-23,0.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,So,6-9,JT Toppin,Texas Tech,B12,71.6,6.5,11.9,119.6,31.4,58.0,60.3,9.9,26.7,12.0,8.2,4.5,0.9,29.3,36-59,0.610,6.9,5-16,0.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
