RK,PLAYER,,,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,,3P/100,3P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sr,6-0,Jason Amador,Grand Canyon,WAC,0.5,0.5,208.2,300.0,20.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.000,92.1,1-1,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sr,6-4,Isiah Lightsy,Middle Tennessee,CUSA,1.0,0.9,113.1,300.0,20.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.000,49.2,1-1,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Jr,6-4,Jeremiah Dargan,Montana,BSky,2.4,1.1,85.1,168.5,26.2,100.0,100.0,0.0,0.0,0.0,0.0,0.0,31.6,0.0,0-0,0.000,48.1,2-3,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Jr,6-1,David Gabriel,Seton Hall,BE,1.1,-0.4,26.3,0.0,32.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,0.0,0-0,0.000,46.5,0-1,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sr,6-0,Cade Brazier,Southern Utah,WAC,2.6,0.6,5.0,113.6,27.9,50.0,50.0,0.0,32.3,0.0,0.0,0.0,0.0,0.0,0-0,0.000,42.5,1-3,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Jr,6-2,Robert Thibiant,Cal St. Northridge,BW,1.1,0.9,52.6,300.0,20.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.000,41.3,1-1,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,So,6-8,Braeden Moore,Oral Roberts,Sum,3.4,0.3,0.9,107.4,30.3,50.0,50.0,0.0,27.3,0.0,0.0,0.0,0.0,0.0,0-0,0.000,40.5,1-3,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Jr,6-5,Ross Candelino,Lipscomb,ASun,2.9,0.5,25.1,161.8,21.9,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.000,38.1,2-3,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Fr,6-11,Amadou Doumbia,Massachusetts,A10,1.0,0.9,68.1,300.0,8.4,150.0,150.0,0.0,67.1,0.0,0.0,0.0,0.0,0.0,0-0,0.000,37.2,1-1,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sr,6-6,Darius Gakwasi,Princeton,Ivy,2.8,0.3,17.4,134.2,23.9,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0-0,0.000,36.6,1-2,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Fr,6-1,Walker Andrews,VMI,SC,2.0,0.5,64.6,126.4,24.4,75.0,75.0,0.0,0.0,0.0,0.0,0.0,35.4,0.0,0-0,0.000,35.2,1-2,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
