RK,PLAYER,,,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,,3P/100,3P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Jr,6-4,Bennett Stirtz,Drake,MVC,100.0,11.1,17.3,154.8,29.7,70.0,71.7,4.3,13.8,28.6,0.0,0.0,1.6,73.3,6-9,0.667,9.7,3-6,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Jr,6-9,Zuby Ejiofor,St. John's,BE,86.3,9.1,15.2,147.8,24.9,68.5,71.3,22.1,10.0,6.9,9.1,5.4,1.5,63.0,17-24,0.708,2.3,1-3,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Jr,5-10,Dominique Daniels Jr.,Cal Baptist,WAC,91.5,9.1,8.2,124.3,36.9,47.8,53.7,4.8,2.1,34.8,11.5,0.0,0.8,23.9,13-28,0.464,15.2,6-18,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,So,6-8,Stephen Olowoniyi,Southern Indiana,OVC,64.5,9.0,22.8,180.8,25.0,90.9,89.7,5.2,10.7,49.0,0.0,3.6,2.4,45.5,10-11,0.909,0.0,0-0,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sr,6-1,LJ Cryer,Houston,B12,84.8,8.7,21.0,156.0,21.4,80.0,80.9,0.0,4.6,9.8,14.4,2.4,2.0,8.0,5-11,0.455,14.3,10-14,0.714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sr,6-3,Walter Clayton Jr.,Florida,SEC,83.4,8.4,19.1,141.5,28.4,62.2,65.2,1.8,8.2,20.3,6.1,1.6,4.3,16.2,8-12,0.667,21.8,10-25,0.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Jr,6-3,Emanuel Sharp,Houston,B12,72.1,8.3,19.3,171.0,18.7,68.4,71.8,0.0,10.8,17.3,0.0,0.0,3.6,21.1,4-7,0.571,14.5,6-12,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sr,6-2,Chance McMillian,Texas Tech,B12,84.9,8.2,13.8,139.9,24.4,66.1,70.8,8.1,9.3,3.4,7.5,1.8,1.8,28.6,8-13,0.615,13.7,7-15,0.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sr,6-2,Samage Teel,Indiana St.,MVC,90.6,8.0,9.4,138.0,26.8,86.0,84.4,2.3,22.7,28.7,23.8,0.0,2.4,24.0,11-12,0.917,10.4,7-13,0.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sr,6-6,Julian Rishwain,UNLV,MWC,90.3,7.9,9.2,165.0,13.4,76.3,77.7,0.0,15.6,13.6,0.0,0.0,1.7,10.5,4-7,0.571,10.0,7-12,0.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
