RK,PLAYER,,,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,,3P/100,3P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Jr,6-4,Po'Boigh King,North Carolina Centr,MEAC,90.0,8.8,9.2,153.9,21.5,70.0,77.3,3.6,13.6,17.2,6.9,0.0,0.0,130.0,4-6,0.667,5.9,2-4,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sr,7-1,Ryan Kalkbrenner,Creighton,BE,83.6,8.4,18.1,150.9,22.5,72.7,74.9,7.8,23.0,17.9,5.4,8.0,0.9,51.5,42-55,0.764,3.3,4-11,0.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Jr,6-4,Bennett Stirtz,Drake,MVC,98.4,8.1,11.1,136.7,28.1,58.2,61.8,0.7,10.6,39.1,9.0,1.1,4.3,45.9,30-59,0.508,7.3,13-26,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Jr,6-7,Keyshawn Hall,UCF,B12,81.3,7.7,10.4,126.7,29.1,59.1,66.3,7.7,17.4,20.6,15.2,0.5,1.4,58.5,26-56,0.464,7.2,15-26,0.577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Jr,6-9,Michael Rataj,Oregon St.,WCC,83.3,7.3,8.1,128.9,29.5,63.2,68.5,6.7,14.0,11.8,13.4,3.5,1.4,47.1,31-53,0.585,5.4,8-15,0.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Fr,6-10,Ace Bailey,Rutgers,B10,87.5,7.3,9.1,121.8,29.5,58.4,62.4,9.6,16.6,9.3,13.7,4.8,1.7,31.3,26-51,0.510,10.8,15-32,0.469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sr,6-4,Jalen Leach,Northwestern,B10,83.2,7.3,8.8,133.9,23.0,64.4,66.3,2.3,5.7,35.1,11.6,0.6,0.6,17.8,23-42,0.548,9.1,16-31,0.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sr,6-11,Dawson Garcia,Minnesota,B10,88.3,7.2,12.3,124.1,28.8,62.4,64.3,3.4,19.1,19.2,8.3,4.5,1.0,34.1,38-61,0.623,8.2,10-24,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Fr,6-5,V.J. Edgecombe,Baylor,B12,87.1,6.9,13.0,124.3,26.6,59.4,63.6,5.6,10.3,19.7,15.1,1.6,3.2,32.9,25-52,0.481,9.5,17-33,0.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sr,6-3,Caleb Grill,Missouri,SEC,69.3,6.9,19.0,148.7,19.4,75.5,76.1,3.3,12.8,11.8,6.5,0.0,4.3,25.5,7-11,0.636,16.9,21-40,0.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
