RK,PLAYER,,,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,,3P/100,3P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Jr,6-2,Donovan Oday,Cal St. Fullerton,BW,60.9,7.4,14.3,157.1,30.1,80.6,82.3,0.0,33.9,15.6,9.2,0.0,0.0,66.7,10-14,0.714,5.5,3-4,0.750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Jr,6-10,Cameron Corhen,Pittsburgh,ACC,74.9,7.4,9.9,168.0,18.0,80.0,78.5,15.6,20.2,5.6,0.0,2.0,1.9,93.3,12-15,0.800,0.0,0-0,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Sr,6-0,Wade Taylor IV,Texas A&M,SEC,51.9,7.3,14.0,141.5,23.8,52.2,58.0,0.0,9.4,44.0,16.5,0.0,7.8,26.1,6-11,0.545,11.8,4-12,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Sr,6-7,Taje' Kelly,Charleston Southern,BSth,96.9,7.3,9.4,113.0,37.9,55.1,56.1,8.7,29.0,15.3,12.0,0.0,3.1,30.6,18-36,0.500,9.9,6-13,0.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Sr,6-11,Oscar Cluff,South Dakota St.,Sum,60.8,7.3,15.9,133.1,35.2,50.0,54.1,28.1,29.9,21.7,0.0,7.2,0.0,16.7,9-18,0.500,0.0,0-0,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Sr,6-4,Tevin Smith,Cleveland St.,Horz,92.0,7.2,9.4,143.9,24.7,64.1,66.7,9.7,9.3,7.7,3.4,5.2,2.5,31.3,13-19,0.684,10.9,5-13,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Jr,6-3,Aaron Potter,Texas A&M Corpus Chr,Slnd,24.5,7.2,20.7,182.4,11.1,90.0,90.0,0.0,0.0,14.7,0.0,8.0,3.3,0.0,0-0,0.000,16.1,3-5,0.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Jr,6-9,Tae Davis,Notre Dame,ACC,76.6,7.2,7.9,139.1,34.1,57.7,68.2,14.9,10.7,18.4,11.4,0.0,0.0,92.3,15-23,0.652,2.9,0-3,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Jr,6-3,TJ Wainwright,Long Beach St.,BW,80.5,7.2,15.4,145.3,27.3,85.7,87.0,0.0,27.6,13.9,19.7,0.0,1.8,14.3,3-6,0.500,14.3,6-8,0.750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,So,6-6,Myles Rigsby,Troy,SB,72.3,7.2,24.3,163.8,24.0,75.0,74.6,7.5,7.9,15.6,0.0,4.6,4.2,100.0,3-5,0.600,10.5,3-5,0.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Sr,6-2,"Teddy Washington, Jr.",Southeast Missouri S,OVC,88.6,7.0,7.6,137.5,24.9,62.5,68.7,4.3,26.0,11.0,6.8,0.0,1.7,35.7,7-14,0.500,11.9,7-14,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Jr,6-8,Elijah Saunders,Virginia,ACC,82.1,7.0,9.7,143.0,22.3,80.0,84.1,4.2,17.4,10.1,15.2,2.9,0.7,80.0,14-18,0.778,4.7,4-7,0.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Sr,6-7,Jamir Watkins,Florida St.,ACC,87.8,7.0,10.1,124.7,31.7,63.5,71.8,1.3,11.2,23.0,18.8,2.4,1.6,94.6,10-17,0.588,10.8,9-20,0.450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Jr,6-8,Christopher Flippin,Maryland Eastern Sho,MEAC,91.3,7.0,2.8,129.5,17.6,44.4,54.7,12.9,6.1,0.0,0.0,2.4,3.2,88.9,4-9,0.444,0.0,0-0,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,So,5-10,Adam Clark,Merrimack,MAAC,88.2,6.9,3.1,111.0,37.1,60.3,61.3,4.0,13.1,47.3,18.8,0.0,1.8,11.8,19-31,0.613,2.6,1-3,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Sr,6-7,Chibuzo Agbo,USC,B10,82.8,6.9,11.6,158.5,14.9,70.7,75.3,4.2,9.4,5.9,0.0,2.2,2.2,44.8,4-9,0.444,11.0,11-20,0.550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,So,6-7,Andrej Stojakovic,California,ACC,79.8,6.8,17.5,134.7,26.0,54.2,63.3,3.5,10.2,17.1,7.4,7.8,3.2,66.7,9-21,0.429,9.6,7-15,0.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Sr,7-2,Hunter Dickinson,Kansas,B12,71.2,6.8,17.0,134.4,28.9,52.7,55.7,17.6,30.5,29.9,2.6,4.5,2.2,24.3,18-32,0.563,3.7,1-5,0.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Fr,6-5,JoJo Moore,Oral Roberts,Sum,63.5,6.7,15.2,154.7,19.5,70.0,76.4,2.2,7.6,36.0,5.8,2.1,3.4,46.7,9-14,0.643,1.1,1-1,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Fr,6-9,Cooper Flagg,Duke,ACC,77.8,6.7,15.3,121.9,33.9,52.2,58.0,7.3,12.3,27.5,14.1,2.1,4.7,35.6,16-33,0.485,8.2,5-12,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Sr,5-10,Kameron Hobbs,Morgan St.,MEAC,90.6,6.7,6.3,126.2,25.2,66.3,68.6,1.1,9.3,16.8,14.9,0.0,2.6,19.6,20-29,0.690,9.1,7-17,0.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Sr,6-2,Chance McMillian,Texas Tech,B12,83.0,6.6,13.2,157.1,15.8,72.6,75.3,3.4,8.5,10.5,7.3,1.1,2.9,19.4,12-17,0.706,8.0,7-14,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Jr,6-2,Jordan Pope,Texas,SEC,68.0,6.6,17.2,168.8,21.8,82.5,82.6,0.0,5.9,10.8,3.3,0.0,3.6,12.5,9-14,0.643,18.7,16-26,0.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Sr,6-10,Jacksen Moni,North Dakota St.,Sum,57.9,6.6,11.1,130.6,47.7,68.8,71.8,3.8,9.6,53.1,18.6,0.0,1.3,58.3,12-16,0.750,10.2,3-8,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Sr,6-4,Caleb Love,Arizona,B12,82.3,6.5,10.2,133.8,24.2,64.3,67.9,1.1,15.2,18.9,13.0,0.0,1.8,30.4,18-21,0.857,15.7,12-35,0.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Sr,6-7,Matt Cross,SMU,ACC,81.3,6.5,11.3,140.8,22.8,71.0,72.1,17.8,16.7,15.2,14.6,1.7,1.7,48.4,13-21,0.619,5.5,6-10,0.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Fr,6-6,Tre Johnson,Texas,SEC,18.7,6.4,23.8,162.9,24.9,81.8,81.8,0.0,17.1,31.7,10.5,0.0,0.0,0.0,3-4,0.750,18.3,4-7,0.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Sr,6-2,Chucky Hepburn,Louisville,ACC,89.6,6.4,7.1,124.0,28.0,57.3,63.9,2.2,10.2,36.2,18.3,0.0,1.6,70.8,14-22,0.636,10.2,9-26,0.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Sr,6-3,Ishmael Leggett,Pittsburgh,ACC,38.5,6.4,10.5,146.1,24.9,79.2,80.0,8.7,11.8,18.0,14.6,3.9,0.0,41.7,5-8,0.625,7.3,3-4,0.750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Sr,6-6,Kobe Julien,Arkansas St.,SB,40.5,6.4,15.4,147.3,23.2,71.4,74.2,3.2,7.8,16.2,6.8,2.8,3.2,42.9,7-11,0.636,4.7,2-3,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Jr,6-0,Hassan Perkins,Maryland Eastern Sho,MEAC,77.0,6.4,2.6,146.4,11.2,80.0,80.0,3.8,3.6,17.9,17.2,0.0,1.9,0.0,4-4,1.000,1.9,0-1,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Sr,6-3,Chase Hunter,Clemson,ACC,83.5,6.3,6.5,130.9,22.3,61.6,65.9,1.7,5.8,12.2,9.3,0.0,1.2,23.2,15-30,0.500,10.8,13-26,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Jr,6-7,Keyshawn Hall,UCF,B12,78.5,6.3,9.5,137.6,23.2,69.4,73.8,4.4,16.2,16.2,15.7,3.0,1.2,51.6,14-23,0.609,4.8,5-8,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,So,5-10,Darryl Simmons II,Gardner Webb,BSth,79.9,6.3,8.9,142.9,24.1,73.8,76.4,0.0,5.4,15.5,14.3,0.0,2.9,19.0,16-27,0.593,8.6,10-15,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Fr,6-2,Boogie Fland,Arkansas,SEC,89.3,6.3,10.2,147.6,20.5,67.6,67.7,0.0,9.1,35.8,7.8,0.0,3.2,8.1,13-19,0.684,9.6,8-18,0.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Jr,6-8,Kaleb Banks,Tulane,Amer,89.0,6.1,12.9,126.9,28.1,64.5,66.7,8.9,27.6,0.0,8.2,5.8,2.3,64.5,14-19,0.737,9.2,4-12,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Sr,6-7,Max Brooks,UMass Lowell,AE,78.8,6.1,9.5,144.1,23.2,84.8,83.7,8.2,23.4,12.0,16.2,6.5,3.8,33.3,28-33,0.848,0.0,0-0,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Sr,6-6,Lamar Oden Jr.,Charleston Southern,BSth,82.3,6.1,4.4,163.2,8.1,56.3,67.5,5.1,5.7,8.8,0.0,0.0,2.7,62.5,0-0,0.000,7.1,3-8,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,So,6-2,Jaland Lowe,Pittsburgh,ACC,88.0,6.1,-0.6,116.8,37.4,45.0,50.3,1.9,5.2,47.1,14.9,1.7,0.8,25.0,12-26,0.462,11.1,4-14,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Sr,6-11,Dawson Garcia,Minnesota,B10,79.5,6.0,13.5,154.2,19.8,72.2,75.9,4.1,24.8,17.1,4.8,5.6,1.0,66.7,7-11,0.636,6.6,4-7,0.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Jr,6-9,Mouhamed Sow,Saint Peter's,MAAC,75.5,6.0,12.5,153.6,22.2,82.1,83.6,4.4,12.8,12.7,10.0,0.0,2.2,14.3,10-13,0.769,2.2,1-1,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
