RK,PLAYER,,,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,,3P/100,3P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sr,6-2,Chris Ashby,Queens,ASun,70.0,3.0,2.2,121.5,19.8,57.9,57.2,1.1,6.6,14.9,6.7,0.0,0.0,2.6,1-1,1.000,24.7,14-37,0.378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Jr,6-0,Keionte Cornelius,Alcorn St.,SWAC,53.4,2.5,3.5,107.4,27.5,50.9,53.9,2.7,7.9,2.9,12.2,0.0,0.0,16.1,3-12,0.250,24.6,17-44,0.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,So,6-4,Jordan Johnson,Southern,SWAC,77.1,4.2,13.4,106.7,31.0,54.7,55.9,5.5,8.2,17.2,15.2,1.9,5.7,25.0,4-8,0.500,22.7,9-24,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sr,6-0,Ryan Myers,Western Illinois,OVC,73.5,0.2,-9.1,84.0,30.7,40.4,42.8,2.2,11.1,6.2,16.2,1.0,1.1,14.0,5-16,0.313,22.6,12-41,0.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sr,6-3,Milton Matthews,Florida A&M,SWAC,65.3,2.5,3.2,99.6,23.9,41.7,45.2,2.0,6.0,9.8,4.7,0.0,2.3,12.5,1-4,0.250,22.4,6-20,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sr,6-5,Wooga Poplar,Villanova,BE,60.1,0.8,-4.5,93.7,26.2,41.7,43.5,3.8,21.4,8.0,18.0,0.0,1.3,14.3,4-9,0.444,22.3,9-33,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,So,6-2,Asjon Anderson,Queens,ASun,55.8,0.5,-5.0,87.1,31.2,35.7,39.6,1.4,8.3,23.5,13.5,0.0,2.6,40.0,5-9,0.556,21.8,5-26,0.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Jr,6-5,Donovan Atwell,UNC Greensboro,SC,68.6,0.8,1.0,94.4,22.3,50.0,50.1,1.8,3.0,7.5,15.3,0.0,2.3,4.3,4-10,0.400,21.1,13-37,0.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sr,6-6,Cade Haskins,Dartmouth,Ivy,61.7,1.2,-0.9,103.6,21.1,55.2,55.9,1.4,15.5,6.3,7.2,0.0,0.0,10.3,1-2,0.500,20.5,10-27,0.370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sr,6-6,Marko Maletic,Western Illinois,OVC,63.1,3.0,1.8,112.0,30.8,58.7,62.3,1.3,9.0,5.7,16.6,0.0,2.5,28.3,9-15,0.600,19.9,12-31,0.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sr,6-5,Chaz Lanier,Tennessee,SEC,76.9,5.1,11.8,134.9,22.2,56.6,57.9,3.1,8.7,6.3,7.0,0.0,3.6,9.8,9-23,0.391,19.6,17-38,0.447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Jr,6-5,Tyler Lundblade,Belmont,MVC,54.5,4.0,10.4,144.4,20.7,73.9,76.5,2.0,7.8,11.2,7.4,0.0,1.0,27.3,4-6,0.667,19.5,19-38,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,So,6-5,Davin Cosby Jr.,Wake Forest,ACC,48.0,1.5,-0.8,108.9,19.9,51.5,52.9,1.2,5.9,19.0,9.6,0.0,0.0,5.9,4-4,1.000,19.1,9-30,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Jr,6-3,Tekao Carpenter,Austin Peay,ASun,50.3,0.2,-2.6,92.7,20.4,45.5,47.4,3.2,9.2,6.9,12.0,0.0,1.2,18.2,0-2,0.000,19.0,10-31,0.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Sr,6-7,Liam Murphy,North Florida,ASun,53.8,0.4,-3.8,93.7,20.3,44.2,44.8,1.4,18.7,8.6,8.5,0.0,0.9,15.4,1-4,0.250,18.9,7-22,0.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Sr,6-1,Atin Wright,North Texas,Amer,74.9,1.5,3.9,96.2,24.7,42.5,44.8,0.9,9.4,11.2,6.5,0.0,4.3,11.3,6-18,0.333,18.7,11-35,0.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
