RK,PLAYER,,,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,,3P/100,3P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sr,5-11,Elijah Hawkins,Texas Tech,B12,82.8,9.0,16.6,153.5,20.1,63.2,65.8,1.9,7.3,45.8,9.3,1.0,2.3,21.1,6-16,0.375,10.3,12-22,0.545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Jr,6-3,Emanuel Sharp,Houston,B12,64.8,9.0,22.7,182.7,16.2,78.8,81.5,0.0,16.0,4.7,0.0,0.0,5.7,23.1,4-5,0.800,17.5,11-21,0.524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Jr,6-5,Kobe Knox,South Florida,Amer,61.4,8.2,11.9,209.1,10.8,105.0,105.0,3.0,11.2,13.9,0.0,2.2,1.2,20.0,3-4,0.750,7.3,5-6,0.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,So,6-0,Jackson Shelstad,Oregon,B10,85.9,8.1,12.0,149.7,17.6,78.6,80.5,0.9,11.0,19.7,11.6,0.0,0.8,16.7,15-24,0.625,7.3,12-18,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Fr,6-9,Cooper Flagg,Duke,ACC,80.6,8.1,20.1,136.5,33.6,71.9,77.5,6.8,21.6,32.7,21.6,3.2,1.9,66.7,21-33,0.636,7.3,9-15,0.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Jr,6-0,Braden Smith,Purdue,B10,89.9,7.8,14.3,130.1,28.3,57.8,59.2,0.0,14.6,50.4,15.3,1.8,3.4,19.6,13-22,0.591,12.5,11-29,0.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sr,6-5,Nimari Burnett,Michigan,B10,82.6,7.8,12.4,165.4,12.3,105.3,103.2,0.0,9.3,11.8,18.1,1.0,1.7,52.6,5-6,0.833,7.2,10-13,0.769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Fr,6-2,Zion Walker,Radford,BSth,35.0,7.6,19.6,155.3,38.8,72.2,78.6,6.1,11.4,46.8,11.7,0.0,0.0,94.4,10-14,0.714,6.0,2-4,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,So,6-7,Andrej Stojakovic,California,ACC,87.2,7.5,12.0,129.5,29.6,54.5,63.6,1.5,9.0,13.7,7.6,1.6,1.8,73.2,26-46,0.565,4.5,3-10,0.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Jr,6-4,Kenny Noland,Columbia,Ivy,85.5,7.4,7.0,160.4,19.0,67.9,67.9,3.4,5.3,31.0,0.0,0.0,1.7,0.0,5-8,0.625,10.4,3-6,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sr,6-1,Mark Sears,Alabama,SEC,85.7,7.4,12.5,132.4,24.1,51.0,61.1,1.5,7.7,31.8,12.5,0.6,1.9,66.7,11-25,0.440,9.8,10-26,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
