Player,Stats
Jaelan Sanford,"[[[[97.5, 14.6, 16.5, 179.4, 23.4, 81.3, 82.2, 3.5, 6.8, 43.8, 0.0, 0.0, 1.4, 37.5, 0.7, 8.3, 0.667], '20171101-20171114'], [[88.8, 1.3, -4.7, 92.4, 23.5, 48.0, 51.2, 1.5, 6.4, 13.3, 18.9, 0.7, 0.0, 24.5, 0.542, 10.1, 0.28], '20171114-20171201'], [[93.3, 1.3, -3.0, 101.9, 21.4, 43.1, 51.6, 1.0, 10.2, 24.1, 19.3, 1.6, 0.5, 38.9, 0.423, 4.6, 0.3], '20171201-20171214'], [[84.4, 4.0, 5.6, 118.3, 21.6, 56.3, 59.7, 3.7, 8.5, 14.3, 16.1, 4.0, 2.6, 20.8, 0.462, 9.6, 0.455], '20171214-20180101'], [[86.3, 4.9, 5.0, 128.6, 22.2, 60.6, 64.1, 1.9, 7.1, 17.6, 9.0, 1.3, 1.2, 32.7, 0.577, 10.4, 0.423], '20180101-20180114'], [[85.0, 4.5, 4.3, 126.3, 20.5, 51.7, 58.1, 2.8, 5.5, 16.3, 4.9, 1.0, 1.3, 32.2, 0.436, 6.7, 0.45], '20180114-20180201'], [[83.8, 5.5, 6.9, 129.1, 24.3, 58.7, 65.1, 2.8, 9.8, 23.0, 9.0, 1.3, 0.9, 56.5, 0.625, 9.6, 0.364], '20180201-20180214'], [[81.3, 2.7, -2.4, 113.9, 19.2, 60.0, 62.7, 0.9, 15.7, 6.7, 18.8, 1.4, 0.0, 13.3, 0.409, 10.4, 0.522], '20180214-20180301'], [[85.6, 2.0, -1.5, 96.5, 23.8, 45.9, 49.4, 1.6, 7.4, 17.4, 18.8, 1.4, 0.9, 24.5, 0.375, 7.6, 0.412], '20180301-20180314']], ""['Toledo', 'MAC']""]"
Admon Gilder,"[[[[82.5, 11.9, 25.7, 182.6, 17.4, 83.3, 85.7, 3.6, 20.2, 39.8, 0.0, 0.0, 3.0, 25.0, 0.571, 7.5, 0.8], '20171101-20171114'], [[74.2, 3.0, 5.1, 116.4, 19.4, 54.3, 61.3, 3.4, 12.8, 21.6, 22.6, 0.5, 1.3, 43.5, 0.435, 7.2, 0.435], '20171114-20171201'], [[71.7, 1.3, 4.4, 106.3, 19.2, 55.0, 55.6, 3.5, 11.4, 10.7, 19.7, 0.0, 4.5, 16.7, 0.632, 6.9, 0.273], '20171201-20171214'], [[43.8, 3.4, 3.3, 105.0, 19.6, 52.0, 54.8, 0.0, 8.8, 9.3, 12.7, 1.6, 1.7, 20.0, 0.5, 9.1, 0.364], '20180101-20180114'], [[74.0, -0.2, -2.8, 85.6, 17.4, 42.3, 44.4, 2.1, 9.3, 11.5, 25.2, 0.0, 1.6, 20.5, 0.45, 7.6, 0.263], '20180114-20180201'], [[81.9, 4.6, 6.3, 120.4, 18.5, 57.5, 60.3, 4.5, 9.3, 11.9, 14.1, 0.0, 2.6, 25.0, 0.609, 7.4, 0.353], '20180201-20180214'], [[83.1, 4.8, 6.5, 133.7, 14.8, 59.4, 66.5, 0.0, 11.1, 10.7, 8.5, 0.7, 2.5, 46.9, 0.389, 5.9, 0.571], '20180214-20180301'], [[91.3, 3.7, 7.8, 111.3, 17.3, 47.6, 54.3, 0.0, 11.0, 5.7, 13.4, 1.4, 3.9, 57.1, 0.364, 7.7, 0.4], '20180301-20180314'], [[89.2, 4.0, 1.5, 113.0, 17.4, 54.7, 57.4, 2.2, 7.8, 12.6, 14.7, 0.9, 0.5, 18.8, 0.565, 4.6, 0.333], '20180314-20180401']], ""['Texas', 'A&M', 'SEC']""]"
Egor Koulechov,"[[[[65.0, 10.5, 30.0, 174.0, 32.8, 82.4, 85.6, 9.6, 11.5, 33.3, 6.0, 0.0, 3.9, 35.3, 0.625, 17.7, 0.667], '20171101-20171114'], [[75.2, 3.6, 4.0, 116.9, 21.8, 46.8, 51.7, 8.3, 17.6, 13.4, 9.3, 0.7, 1.4, 22.6, 0.368, 8.1, 0.417], '20171114-20171201'], [[77.5, 3.3, 3.3, 101.4, 23.5, 39.0, 44.0, 6.7, 17.0, 8.0, 8.1, 1.0, 0.6, 17.1, 0.464, 8.3, 0.154], '20171201-20171214'], [[72.5, 1.1, -2.9, 94.4, 24.4, 36.7, 44.9, 9.1, 17.1, 1.8, 14.4, 1.0, 1.0, 28.9, 0.36, 10.0, 0.25], '20171214-20180101'], [[81.9, 4.9, 9.4, 118.6, 23.0, 59.6, 60.9, 5.8, 22.4, 12.6, 11.7, 0.0, 2.7, 15.4, 0.345, 10.4, 0.609], '20180101-20180114'], [[81.5, 2.6, 2.5, 103.7, 19.3, 51.1, 56.6, 6.0, 19.7, 2.4, 18.7, 0.6, 0.7, 38.6, 0.5, 7.2, 0.35], '20180114-20180201'], [[72.7, 4.2, 9.7, 123.7, 18.0, 65.2, 68.4, 1.9, 16.7, 8.2, 14.2, 0.0, 1.5, 27.3, 0.611, 7.7, 0.467], '20180201-20180214'], [[76.6, 3.4, 4.9, 112.9, 19.4, 51.9, 54.2, 4.7, 15.3, 4.1, 6.2, 0.0, 1.2, 21.2, 0.391, 11.6, 0.414], '20180214-20180301'], [[67.5, 3.3, 2.0, 115.2, 20.2, 50.0, 55.0, 0.0, 18.5, 7.0, 5.5, 0.0, 0.0, 44.4, 0.375, 11.2, 0.4], '20180301-20180314'], [[75.0, 2.2, 1.5, 95.4, 23.9, 53.3, 52.5, 1.6, 16.9, 0.0, 11.8, 0.0, 0.0, 3.3, 0.583, 17.0, 0.333], '20180314-20180401']], ""['Florida', 'SEC']""]"
Jon Axel,"[[[[65.0, 10.1, 26.1, 205.6, 20.8, 100.0, 98.9, 2.3, 27.6, 37.0, 0.0, 0.0, 2.1, 58.8, 1.0, 12.7, 0.667], '20171101-20171114'], [[84.0, 3.8, 6.2, 120.7, 20.9, 61.3, 63.5, 0.7, 17.5, 29.0, 15.9, 0.0, 2.0, 20.8, 0.64, 9.3, 0.393], '20171114-20171201'], [[91.3, 6.8, 13.6, 134.3, 22.3, 64.3, 71.7, 1.4, 19.1, 23.1, 10.6, 0.0, 4.7, 76.2, 0.667, 9.4, 0.417], '20171201-20171214'], [[89.0, 1.2, -0.8, 89.5, 23.4, 38.3, 45.1, 2.1, 18.1, 26.0, 21.5, 0.0, 2.3, 42.6, 0.375, 7.7, 0.261], '20171214-20180101'], [[88.8, 5.2, 8.7, 125.0, 22.6, 59.8, 60.4, 4.0, 23.6, 14.1, 8.5, 0.0, 3.4, 28.3, 0.583, 10.6, 0.409], '20180101-20180114'], [[90.5, 7.0, 10.5, 133.1, 26.0, 67.9, 69.5, 2.3, 12.6, 32.1, 16.7, 0.8, 1.8, 35.7, 0.63, 10.5, 0.483], '20180114-20180201'], [[80.0, 1.4, 0.8, 97.0, 20.1, 51.9, 57.2, 0.0, 25.8, 25.2, 30.4, 0.0, 2.8, 23.1, 0.375, 4.7, 0.5], '20180201-20180214'], [[92.6, 2.2, 1.6, 108.0, 18.3, 52.4, 56.3, 1.5, 19.6, 24.4, 22.1, 0.0, 1.9, 22.0, 0.458, 5.3, 0.412], '20180214-20180301'], [[94.4, 4.8, 4.0, 121.8, 17.3, 44.2, 53.5, 0.9, 15.8, 27.0, 10.2, 0.0, 1.8, 69.2, 0.438, 4.4, 0.3], '20180301-20180314'], [[100.0, 5.7, 8.1, 113.3, 23.5, 64.3, 66.0, 0.0, 19.2, 16.7, 18.3, 0.0, 0.0, 28.6, 0.0, 15.8, 0.545], '20180314-20180401']], ""['Gudmundsson', 'Davidson', 'A10']""]"
Max Heidegger,"[[[[87.5, 10.0, 18.8, 153.7, 28.2, 73.7, 77.2, 0.0, 9.8, 22.0, 0.0, 0.0, 0.0, 26.3, 0.4, 25.0, 0.571], '20171101-20171114'], [[85.4, 5.3, 4.9, 117.7, 28.9, 53.4, 59.6, 0.6, 8.6, 17.6, 10.6, 0.0, 1.7, 62.5, 0.52, 10.6, 0.368], '20171114-20171201'], [[85.8, 4.1, 4.8, 116.7, 27.0, 56.1, 55.6, 0.0, 4.0, 19.0, 4.0, 0.0, 0.0, 40.8, 0.467, 10.2, 0.474], '20171201-20171214'], [[82.5, 3.5, -1.1, 107.2, 29.0, 60.0, 60.0, 3.5, 5.3, 12.9, 18.5, 0.0, 1.8, 23.3, 0.5, 16.1, 0.444], '20171214-20180101'], [[85.8, 3.8, 2.9, 113.2, 25.9, 51.1, 56.5, 0.0, 7.6, 10.0, 8.7, 0.0, 1.7, 28.3, 0.318, 13.6, 0.458], '20180101-20180114'], [[83.4, 5.7, 5.6, 125.8, 24.8, 53.0, 60.6, 1.4, 10.1, 14.4, 7.1, 0.0, 0.7, 46.3, 0.571, 13.7, 0.333], '20180114-20180201'], [[82.4, 5.1, 2.5, 127.9, 23.3, 56.8, 63.2, 0.0, 4.6, 13.6, 12.6, 0.0, 0.6, 45.9, 0.353, 11.8, 0.5], '20180201-20180214'], [[87.5, 0.2, -5.8, 87.3, 22.6, 41.7, 44.7, 0.6, 7.6, 11.4, 14.1, 0.0, 0.7, 25.0, 0.357, 11.3, 0.313], '20180214-20180301'], [[81.9, 1.4, -3.9, 98.2, 24.7, 42.7, 46.5, 0.9, 5.3, 14.5, 11.4, 0.8, 0.0, 20.0, 0.389, 17.3, 0.297], '20180301-20180314']], ""['UC', 'Santa', 'Barbara', 'BW']""]"
Calvin Hermanson,"[[[[78.8, 9.7, 16.1, 185.3, 15.5, 100.0, 98.4, 4.2, 14.8, 7.6, 6.2, 0.0, 1.0, 41.2, 1.0, 8.6, 0.667], '20171101-20171114'], [[84.4, 4.2, 5.7, 131.5, 14.5, 68.1, 72.3, 3.2, 9.7, 4.8, 14.8, 0.6, 2.5, 36.1, 0.786, 7.8, 0.409], '20171114-20171201'], [[81.7, 2.7, 3.0, 116.8, 18.0, 64.3, 63.2, 6.9, 8.8, 3.7, 14.0, 2.2, 1.3, 21.4, 0.75, 10.1, 0.375], '20171201-20171214'], [[77.6, 3.7, 6.6, 130.5, 15.7, 58.3, 60.2, 3.4, 8.8, 8.7, 5.0, 1.9, 1.2, 31.0, 0.2, 12.6, 0.469], '20171214-20180101'], [[66.9, 1.4, 0.2, 112.0, 15.9, 53.7, 57.9, 4.6, 12.4, 4.6, 14.6, 1.0, 0.6, 18.5, 0.5, 7.5, 0.385], '20180101-20180114'], [[77.0, 3.7, 6.2, 128.4, 15.0, 70.0, 72.2, 1.8, 9.0, 9.0, 16.1, 0.0, 2.0, 14.3, 0.571, 8.5, 0.524], '20180114-20180201'], [[74.4, 0.3, -1.1, 101.0, 11.4, 47.4, 49.1, 0.0, 6.6, 7.9, 14.5, 0.9, 1.1, 26.3, 0.333, 5.5, 0.4], '20180201-20180214'], [[86.3, -0.1, 1.2, 94.0, 16.7, 47.3, 48.0, 3.7, 11.2, 4.3, 13.6, 2.4, 1.8, 2.7, 0.476, 7.3, 0.313], '20180214-20180301'], [[80.0, 4.7, 4.5, 133.5, 18.8, 66.7, 67.4, 3.2, 6.3, 5.6, 10.6, 0.0, 0.0, 13.3, 0.4, 16.6, 0.48], '20180301-20180314'], [[95.3, 4.4, 5.6, 127.8, 12.6, 70.6, 69.6, 1.6, 9.7, 2.4, 19.8, 1.6, 2.5, 11.8, 1.0, 11.6, 0.429], '20180314-20180401']], '[\'Saint\', ""Mary\'s"", \'WCC\']']"
Jordan Barnes,"[[[[55.0, 9.6, 27.2, 194.3, 22.6, 107.1, 106.8, 0.0, 18.2, 36.5, 11.2, 6.7, 5.1, 42.9, 0.0, 17.8, 0.714], '20171101-20171114'], [[81.8, 2.5, 1.4, 100.1, 24.3, 46.9, 52.7, 1.2, 12.5, 29.2, 19.0, 0.0, 1.2, 35.9, 0.222, 11.4, 0.432], '20171114-20171201'], [[84.7, 6.9, 12.6, 137.7, 25.9, 71.2, 75.3, 0.0, 9.3, 29.0, 15.3, 0.0, 1.6, 42.3, 0.25, 14.2, 0.611], '20171201-20171214'], [[80.0, 1.9, 0.3, 94.1, 29.2, 56.9, 57.8, 1.7, 15.1, 33.1, 29.5, 0.0, 0.8, 21.6, 0.533, 14.8, 0.389], '20171214-20180101'], [[89.4, 3.7, 2.1, 105.8, 25.6, 52.4, 54.0, 0.0, 14.9, 18.1, 15.0, 0.0, 1.7, 6.5, 0.455, 17.0, 0.375], '20180101-20180114'], [[85.0, 4.9, 8.0, 118.6, 24.5, 58.4, 62.3, 0.5, 5.9, 19.7, 17.1, 0.0, 3.9, 21.7, 0.607, 15.4, 0.382], '20180114-20180201'], [[79.4, 4.1, 2.1, 109.2, 27.8, 46.4, 53.5, 1.8, 13.0, 20.6, 13.2, 0.0, 1.8, 28.6, 0.118, 17.9, 0.41], '20180201-20180214'], [[75.8, 3.5, 5.7, 105.1, 29.2, 50.0, 55.2, 3.2, 14.0, 28.9, 19.4, 0.9, 1.9, 34.0, 0.364, 19.8, 0.357], '20180214-20180301'], [[95.0, 8.8, 15.9, 149.7, 20.9, 70.0, 71.9, 0.0, 22.3, 33.5, 0.0, 0.0, 1.4, 33.3, 0.6, 14.3, 0.5], '20180301-20180314']], ""['Indiana', 'St.', 'MVC']""]"
Nate Navigato,"[[[[90.0, 9.6, 8.4, 168.3, 15.5, 77.3, 82.2, 0.0, 12.3, 9.5, 0.0, 2.5, 0.0, 45.5, 1.0, 15.0, 0.5], '20171101-20171114'], [[92.5, 3.3, 3.4, 116.9, 16.0, 56.7, 58.0, 3.7, 11.6, 2.8, 4.8, 1.3, 1.2, 11.1, 0.429, 12.0, 0.419], '20171114-20171201'], [[95.0, 0.0, -2.3, 100.9, 14.8, 44.1, 44.8, 3.8, 11.8, 10.0, 6.1, 0.8, 0.9, 17.6, 0.5, 10.0, 0.273], '20171201-20171214'], [[76.3, 6.8, 12.9, 159.1, 15.8, 87.1, 84.8, 6.1, 12.9, 17.4, 12.2, 0.9, 1.0, 25.8, 0.667, 10.6, 0.636], '20171214-20180101'], [[75.0, 1.7, 0.5, 115.7, 14.4, 57.1, 58.2, 3.3, 9.1, 9.9, 12.8, 3.1, 0.0, 28.6, 0.167, 10.1, 0.455], '20180101-20180114'], [[73.5, 3.5, 3.6, 133.0, 14.6, 56.8, 62.3, 2.4, 6.4, 12.0, 5.3, 1.8, 0.8, 27.0, 0.6, 10.4, 0.37], '20180114-20180201'], [[80.0, 3.3, 3.6, 124.4, 16.6, 53.1, 59.3, 1.0, 16.5, 15.9, 5.5, 1.4, 0.5, 50.0, 0.625, 10.9, 0.333], '20180201-20180214'], [[78.8, 4.5, 3.0, 145.7, 12.3, 72.4, 72.2, 4.8, 8.6, 5.1, 7.6, 1.4, 0.5, 20.7, 0.75, 11.6, 0.48], '20180214-20180301'], [[83.8, 4.8, 5.8, 138.3, 12.9, 65.2, 67.3, 1.6, 10.1, 7.6, 7.1, 1.5, 0.9, 12.1, 0.5, 13.3, 0.448], '20180301-20180314']], ""['Toledo', 'MAC']""]"
Tremont Waters,"[[[[67.5, 9.2, 32.5, 174.4, 32.1, 84.6, 85.2, 0.0, 19.5, 39.2, 6.8, 0.0, 10.8, 46.2, 0.714, 13.1, 0.667], '20171101-20171114'], [[78.5, 4.6, 5.5, 118.4, 27.1, 56.1, 60.5, 0.8, 8.2, 33.6, 20.8, 0.0, 4.2, 36.8, 0.538, 11.7, 0.387], '20171114-20171201'], [[95.0, 4.6, 4.5, 110.2, 27.8, 55.6, 59.2, 1.7, 13.7, 33.5, 25.7, 1.5, 2.1, 33.3, 0.5, 6.4, 0.444], '20171201-20171214'], [[78.8, 3.9, 8.4, 119.8, 24.1, 61.8, 65.1, 0.0, 6.5, 31.7, 24.3, 0.0, 5.8, 44.7, 0.467, 10.4, 0.478], '20171214-20180101'], [[91.3, 4.4, 6.9, 107.5, 24.8, 51.0, 56.0, 0.8, 17.3, 27.0, 16.0, 0.7, 2.3, 42.9, 0.556, 12.3, 0.323], '20180101-20180114'], [[75.5, -0.1, -3.2, 77.1, 24.3, 29.6, 36.3, 2.9, 8.0, 25.8, 22.5, 0.0, 3.9, 20.4, 0.357, 8.2, 0.143], '20180114-20180201'], [[79.4, 2.9, 0.9, 95.0, 31.9, 34.9, 42.2, 1.0, 13.8, 42.9, 18.5, 0.0, 3.7, 34.0, 0.333, 13.2, 0.241], '20180201-20180214'], [[92.1, 6.5, 5.9, 115.2, 30.3, 52.2, 56.8, 0.8, 7.5, 29.6, 11.5, 0.9, 1.9, 39.1, 0.5, 12.7, 0.364], '20180214-20180301'], [[77.5, 6.6, 9.3, 127.8, 27.7, 68.8, 69.4, 1.4, 10.0, 47.3, 22.4, 0.0, 1.8, 31.3, 0.556, 8.7, 0.571], '20180301-20180314'], [[72.5, 3.7, 4.1, 105.7, 30.2, 47.5, 55.5, 0.0, 9.2, 48.6, 21.8, 0.0, 4.6, 55.0, 0.667, 7.5, 0.125], '20180314-20180401']], ""['LSU', 'SEC']""]"
Chris Clemons,"[[[[92.5, 9.0, 9.6, 106.2, 47.7, 44.8, 54.0, 2.7, 15.8, 36.0, 14.2, 0.0, 1.3, 51.7, 0.526, 13.5, 0.2], '20171101-20171114'], [[56.6, 2.4, -3.1, 105.7, 32.2, 40.6, 53.8, 0.0, 14.4, 23.5, 13.5, 0.8, 2.4, 62.5, 0.375, 11.6, 0.292], '20171114-20171201'], [[43.8, 3.4, 7.4, 110.9, 31.8, 69.0, 68.4, 2.8, 11.7, 7.2, 20.7, 2.8, 1.6, 23.8, 0.538, 13.1, 0.625], '20171201-20171214'], [[90.0, 4.2, 3.6, 107.5, 33.3, 57.6, 62.5, 1.0, 10.4, 2.1, 16.9, 0.9, 2.5, 32.2, 0.471, 12.8, 0.48], '20171214-20180101'], [[91.5, 5.5, 4.6, 118.4, 31.9, 60.3, 68.4, 1.0, 11.5, 18.2, 18.2, 0.8, 4.3, 65.5, 0.719, 10.1, 0.308], '20180101-20180114'], [[88.3, 4.9, 5.8, 111.4, 33.6, 54.5, 60.7, 1.2, 16.4, 14.8, 12.5, 0.5, 2.2, 48.0, 0.435, 15.1, 0.426], '20180114-20180201'], [[84.4, 5.0, 7.9, 111.6, 36.2, 60.0, 61.9, 2.6, 16.8, 20.3, 13.3, 1.0, 1.3, 32.0, 0.545, 18.4, 0.429], '20180201-20180214'], [[87.5, 6.0, 8.8, 117.8, 35.4, 47.1, 55.5, 0.7, 15.1, 31.7, 4.2, 1.4, 2.2, 45.3, 0.525, 16.9, 0.283], '20180214-20180301'], [[93.8, 6.8, 0.7, 114.5, 36.9, 51.2, 57.1, 0.0, 21.7, 13.0, 6.8, 1.5, 1.7, 36.6, 0.522, 15.0, 0.333], '20180301-20180314'], [[87.5, 6.9, 4.0, 113.7, 40.6, 58.3, 64.1, 0.0, 19.3, 23.7, 15.7, 1.1, 2.9, 48.1, 0.577, 16.2, 0.393], '20180314-20180401']], ""['Campbell', 'BSth']""]"
