Player,Stats
Richard Carter,"[[[[90.0, 11.5, 31.2, 156.8, 33.7, 76.5, 83.7, 0.0, 8.8, 0.0, 10.4, 0.0, 6.9, 70.6, 0.769, 7.0, 0.5], '20131101-20131114'], [[80.5, 3.8, 5.5, 107.3, 31.5, 49.3, 54.2, 3.1, 17.5, 24.8, 15.3, 0.0, 4.8, 31.1, 0.442, 8.2, 0.409], '20131114-20131201'], [[82.4, 2.3, 3.2, 91.7, 34.3, 40.8, 47.9, 1.1, 11.9, 14.1, 15.8, 0.0, 5.4, 44.9, 0.515, 9.7, 0.125], '20131201-20131214'], [[73.2, 2.5, 5.1, 102.1, 29.7, 38.5, 48.5, 3.0, 7.7, 18.5, 13.3, 0.0, 5.5, 67.2, 0.4, 8.3, 0.238], '20131214-20140101'], [[80.0, 3.7, -1.8, 104.0, 33.0, 42.2, 49.8, 5.1, 11.2, 28.0, 14.5, 0.0, 1.9, 58.8, 0.436, 5.8, 0.25], '20140101-20140114'], [[78.3, 4.2, 2.4, 111.3, 29.1, 48.1, 58.3, 1.4, 11.3, 40.5, 18.9, 0.0, 2.7, 92.5, 0.444, 8.9, 0.346], '20140114-20140201'], [[72.5, 1.1, -1.9, 87.7, 30.2, 47.3, 51.1, 0.0, 10.4, 32.6, 25.1, 0.0, 3.8, 62.2, 0.476, 8.7, 0.313], '20140201-20140214'], [[80.5, 3.1, 0.0, 103.0, 29.0, 46.0, 52.2, 1.8, 6.8, 32.6, 16.7, 0.0, 2.4, 68.0, 0.567, 8.1, 0.2], '20140214-20140301'], [[88.8, 7.4, 6.5, 123.1, 35.9, 58.3, 60.8, 2.0, 8.5, 56.4, 12.9, 0.0, 0.9, 43.3, 0.591, 7.4, 0.375], '20140301-20140314']], ""['Drake', 'MVC']""]"
Dyami Starks,"[[[[88.8, 10.2, 11.6, 143.2, 32.2, 67.5, 72.1, 1.9, 3.1, 3.7, 4.7, 0.0, 0.8, 45.0, 0.652, 12.8, 0.471], '20131101-20131114'], [[91.9, 3.6, 0.9, 105.8, 25.3, 41.8, 48.9, 3.4, 7.5, 12.5, 8.0, 0.6, 2.8, 32.8, 0.387, 12.1, 0.3], '20131114-20131201'], [[88.8, 2.9, 1.3, 99.9, 27.0, 53.1, 56.2, 1.9, 11.4, 7.3, 19.3, 0.0, 1.9, 18.5, 0.516, 16.3, 0.36], '20131201-20131214'], [[82.4, 2.9, 0.8, 108.3, 25.8, 56.3, 58.8, 1.7, 11.4, 10.8, 16.9, 0.0, 1.6, 18.8, 0.414, 13.9, 0.457], '20131214-20140101'], [[86.3, 1.2, -3.3, 98.4, 22.6, 54.0, 53.9, 1.7, 8.3, 14.0, 19.0, 0.0, 0.9, 16.0, 0.333, 13.7, 0.438], '20140101-20140114'], [[91.0, 2.5, -3.7, 108.0, 24.4, 50.7, 55.0, 2.7, 2.8, 10.3, 12.7, 0.0, 0.6, 23.7, 0.444, 12.4, 0.375], '20140114-20140201'], [[94.2, 4.4, 2.1, 124.9, 23.1, 55.7, 58.6, 6.7, 5.4, 13.5, 11.3, 0.0, 1.6, 18.2, 0.583, 10.5, 0.35], '20140201-20140214'], [[78.8, 1.2, 0.7, 98.8, 22.3, 41.7, 45.5, 1.8, 8.2, 15.9, 10.1, 0.0, 3.2, 20.8, 0.462, 10.6, 0.242], '20140214-20140301'], [[87.5, 2.0, 2.9, 103.9, 28.5, 46.3, 51.9, 5.8, 11.1, 18.3, 13.0, 0.0, 5.6, 22.2, 0.385, 13.0, 0.357], '20140301-20140314']], ""['Bryant', 'NEC']""]"
Kyle Boswell,"[[[[82.5, 10.2, 15.7, 169.8, 18.5, 93.8, 91.6, 0.0, 7.7, 21.1, 9.8, 0.0, 0.0, 62.5, 0.0, 12.7, 0.714], '20131101-20131114'], [[77.5, -1.3, -6.2, 73.3, 20.8, 40.9, 38.2, 0.0, 14.0, 21.2, 25.0, 0.0, 1.3, 27.3, 0.429, 9.7, 0.267], '20131114-20131201'], [[65.0, 7.9, 10.4, 167.2, 19.4, 70.0, 76.4, 0.0, 8.7, 27.8, 6.2, 0.0, 0.0, 46.7, 0.0, 18.2, 0.467], '20131201-20131214'], [[72.2, 5.6, 13.2, 149.0, 18.0, 76.3, 75.9, 0.0, 8.9, 28.7, 4.8, 0.0, 1.7, 42.5, 0.25, 13.8, 0.594], '20131214-20140101'], [[85.0, -0.9, -10.4, 92.9, 10.7, 21.4, 31.4, 0.0, 3.8, 5.6, 0.0, 0.0, 0.0, 28.6, 0.0, 10.5, 0.2], '20140101-20140114'], [[67.3, 2.5, 1.4, 116.9, 20.3, 65.8, 71.6, 0.8, 5.2, 19.7, 25.8, 0.0, 0.4, 52.6, 0.667, 12.0, 0.438], '20140114-20140201'], [[67.5, 1.6, 1.3, 113.4, 17.5, 61.1, 67.1, 1.5, 1.3, 16.7, 30.1, 0.0, 1.5, 33.3, 0.667, 11.3, 0.4], '20140201-20140214'], [[58.5, -0.1, -5.2, 98.3, 14.2, 39.1, 42.5, 0.0, 5.0, 7.1, 7.6, 0.0, 0.5, 21.9, 0.25, 12.9, 0.292], '20140214-20140301'], [[64.4, 0.9, -2.4, 102.1, 19.9, 55.4, 54.8, 0.0, 8.4, 13.4, 16.0, 0.0, 0.6, 50.0, 0.5, 11.4, 0.389], '20140301-20140314']], ""['UC', 'Santa', 'Barbara', 'BW']""]"
Kendall Williams,"[[[[62.5, 10.1, 29.3, 211.8, 17.9, 125.0, 109.0, 0.0, 3.6, 45.5, 0.0, 0.0, 2.4, 200.0, 1.0, 4.5, 1.0], '20131101-20131114'], [[87.1, 5.6, 8.7, 125.7, 24.9, 53.5, 65.5, 3.6, 6.5, 32.6, 19.3, 0.5, 2.4, 77.2, 0.486, 6.6, 0.409], '20131114-20131201'], [[90.8, 7.1, 12.0, 127.7, 23.6, 63.5, 69.6, 2.2, 7.9, 23.6, 16.5, 0.0, 2.2, 126.9, 0.6, 6.1, 0.455], '20131201-20131214'], [[91.3, 5.4, 9.4, 122.9, 22.8, 60.9, 70.6, 1.7, 8.1, 26.0, 22.2, 0.0, 3.4, 115.6, 0.529, 6.3, 0.467], '20131214-20140101'], [[88.8, 3.4, 6.4, 105.7, 27.8, 37.8, 45.6, 4.5, 11.3, 29.4, 7.8, 0.0, 4.4, 51.1, 0.286, 9.2, 0.353], '20140101-20140114'], [[85.8, 5.5, 9.9, 127.8, 23.4, 59.3, 63.5, 1.9, 9.6, 32.1, 12.7, 0.0, 3.6, 59.3, 0.423, 9.9, 0.485], '20140114-20140201'], [[83.2, 2.8, 1.8, 100.8, 28.5, 44.1, 49.6, 1.3, 11.2, 17.1, 11.6, 0.0, 2.6, 76.5, 0.45, 9.2, 0.286], '20140201-20140214'], [[86.3, 5.2, 8.1, 127.6, 19.1, 58.3, 59.9, 0.9, 10.4, 23.3, 7.1, 0.0, 2.3, 23.8, 0.609, 8.6, 0.368], '20140214-20140301'], [[84.5, 2.9, 2.4, 105.2, 24.2, 49.1, 51.6, 3.5, 6.7, 33.5, 17.8, 0.7, 1.8, 31.5, 0.481, 9.7, 0.333], '20140301-20140314'], [[96.7, 2.7, 4.5, 101.3, 19.3, 41.7, 46.5, 3.2, 6.4, 21.7, 11.3, 0.0, 2.2, 53.3, 0.385, 9.3, 0.294], '20140314-20140401']], ""['New', 'Mexico', 'MWC']""]"
Trey Sumler,"[[[[41.3, 10.1, 16.4, 151.1, 28.8, 76.7, 77.1, 0.0, 0.0, 42.1, 11.8, 0.0, 3.4, 53.3, 0.636, 6.8, 0.75], '20131101-20131114'], [[87.5, 2.1, -2.7, 100.8, 24.3, 39.7, 45.7, 2.8, 13.2, 27.4, 14.2, 0.0, 1.3, 25.3, 0.421, 8.0, 0.233], '20131114-20131201'], [[82.5, 0.6, -4.6, 90.6, 20.2, 36.4, 42.6, 0.0, 11.0, 18.8, 16.3, 0.0, 1.6, 36.4, 0.333, 13.2, 0.25], '20131201-20131214'], [[90.0, 7.0, 11.7, 138.4, 22.8, 76.6, 78.6, 4.4, 14.2, 29.6, 19.6, 0.0, 2.8, 40.6, 0.647, 8.4, 0.6], '20131214-20140101'], [[92.5, 2.7, 0.3, 106.4, 25.4, 52.6, 56.6, 3.1, 9.6, 26.8, 20.7, 0.0, 2.6, 34.2, 0.538, 6.3, 0.333], '20140101-20140114'], [[86.0, 1.1, -2.0, 98.1, 24.2, 42.9, 46.0, 1.8, 11.1, 24.5, 20.4, 0.0, 2.5, 25.4, 0.243, 9.2, 0.462], '20140114-20140201'], [[88.8, 2.8, -2.7, 108.9, 27.0, 45.1, 48.5, 2.9, 5.3, 19.6, 5.6, 0.0, 1.0, 49.0, 0.538, 12.7, 0.24], '20140201-20140214'], [[89.6, 2.7, -1.0, 112.0, 24.4, 45.7, 55.0, 4.2, 8.3, 24.5, 17.3, 0.0, 1.9, 60.0, 0.513, 8.2, 0.258], '20140214-20140301'], [[87.3, 4.4, -1.2, 124.3, 22.8, 41.3, 53.1, 4.0, 7.8, 20.3, 9.5, 0.0, 0.9, 65.2, 0.433, 6.9, 0.25], '20140301-20140314']], ""['Western', 'Carolina', 'SC']""]"
Joseph Young,"[[[[87.5, 9.7, 14.3, 156.2, 26.2, 71.7, 82.6, 6.1, 12.4, 9.5, 12.0, 0.0, 2.4, 121.7, 0.818, 9.4, 0.417], '20131101-20131114'], [[75.0, 5.0, 10.7, 137.0, 20.9, 59.4, 62.3, 2.8, 6.5, 14.8, 3.6, 0.0, 3.4, 50.9, 0.563, 8.0, 0.429], '20131114-20131201'], [[76.0, 4.7, 5.8, 125.2, 21.1, 60.6, 59.4, 3.3, 12.0, 16.9, 5.7, 0.0, 1.2, 36.4, 0.4, 7.8, 0.615], '20131201-20131214'], [[67.3, 6.1, 12.3, 139.7, 23.0, 64.9, 66.1, 2.1, 15.0, 14.8, 4.2, 0.0, 1.4, 15.8, 0.647, 11.0, 0.435], '20131214-20140101'], [[75.8, 3.5, 2.5, 112.1, 20.8, 47.2, 61.0, 1.7, 9.5, 7.5, 18.9, 0.7, 1.3, 72.2, 0.533, 9.1, 0.286], '20140101-20140114'], [[74.0, 4.8, 11.8, 127.9, 22.8, 46.4, 57.8, 3.2, 7.3, 11.3, 7.0, 0.0, 5.1, 50.9, 0.444, 11.2, 0.321], '20140114-20140201'], [[75.0, 7.0, 16.1, 130.3, 27.0, 53.2, 59.6, 3.4, 4.0, 14.5, 2.4, 0.0, 3.9, 29.8, 0.464, 12.4, 0.421], '20140201-20140214'], [[78.6, 5.3, 7.0, 120.3, 29.0, 55.6, 61.1, 2.5, 6.9, 17.2, 11.6, 0.0, 2.6, 39.4, 0.5, 11.6, 0.419], '20140214-20140301'], [[81.5, 4.7, 4.8, 114.7, 24.5, 51.4, 54.8, 2.3, 3.2, 10.6, 9.0, 0.0, 1.5, 22.9, 0.45, 11.1, 0.4], '20140301-20140314'], [[77.5, 7.2, 11.7, 127.5, 31.1, 61.3, 65.4, 4.9, 6.6, 17.8, 6.1, 0.0, 0.9, 38.7, 0.619, 9.5, 0.4], '20140314-20140401']], ""['Oregon', 'P12']""]"
Jelani Hewitt,"[[[[86.7, 9.5, 8.9, 126.8, 38.6, 47.5, 56.7, 0.0, 9.1, 32.5, 9.2, 2.7, 1.7, 40.0, 0.5, 17.8, 0.3], '20131101-20131114'], [[91.7, 3.9, 6.3, 106.3, 34.1, 47.8, 53.1, 5.9, 14.3, 23.6, 15.2, 0.0, 4.3, 50.0, 0.5, 12.2, 0.3], '20131114-20131201'], [[87.5, -0.7, -10.3, 84.5, 24.0, 50.0, 50.2, 0.0, 0.0, 4.7, 29.0, 0.0, 0.0, 16.7, 0.0, 13.9, 0.5], '20131201-20131214'], [[78.5, 1.0, 0.1, 91.1, 30.5, 40.0, 48.4, 3.5, 14.4, 18.4, 21.7, 0.7, 4.6, 33.8, 0.333, 12.4, 0.313], '20131214-20140101'], [[88.8, 3.5, 0.4, 113.9, 29.4, 61.5, 70.4, 1.8, 10.7, 10.4, 27.8, 0.0, 0.0, 53.8, 0.538, 10.6, 0.462], '20140101-20140114'], [[84.1, 3.6, 7.0, 111.9, 29.8, 49.4, 56.2, 2.6, 11.6, 29.0, 17.4, 0.0, 3.5, 36.4, 0.375, 11.6, 0.425], '20140114-20140201'], [[88.8, 2.2, 5.2, 96.5, 31.1, 39.3, 45.4, 2.1, 8.8, 27.7, 13.5, 2.4, 3.0, 31.4, 0.472, 14.2, 0.206], '20140201-20140214'], [[84.5, 3.3, 3.8, 109.2, 31.1, 51.2, 55.2, 2.1, 13.0, 14.5, 14.9, 0.0, 4.7, 24.4, 0.4, 13.2, 0.432], '20140214-20140301'], [[84.4, -0.7, -5.8, 80.4, 28.5, 33.6, 37.0, 0.9, 16.4, 15.1, 11.6, 0.0, 2.8, 18.0, 0.364, 8.0, 0.176], '20140301-20140314']], ""['Georgia', 'Southern', 'SC']""]"
Jonathan Octeus,"[[[[95.0, 9.5, 13.8, 128.5, 28.9, 46.7, 59.7, 0.0, 10.5, 9.9, 0.0, 0.0, 4.7, 106.7, 0.538, 3.2, 0.0], '20131101-20131114'], [[87.5, 1.8, -1.1, 107.7, 19.7, 35.6, 45.6, 4.1, 11.9, 18.7, 8.4, 0.0, 1.1, 71.2, 0.255, 3.3, 0.5], '20131114-20131201'], [[71.3, -0.3, -9.5, 82.6, 20.8, 33.3, 43.7, 2.1, 4.1, 15.2, 25.5, 0.0, 2.1, 46.7, 0.385, 2.1, 0.0], '20131201-20131214'], [[73.3, 2.3, -1.5, 113.7, 17.6, 48.3, 51.8, 1.2, 13.6, 8.7, 7.7, 0.0, 1.4, 20.0, 0.565, 4.8, 0.143], '20131214-20140101'], [[90.0, 1.9, -2.5, 103.0, 16.6, 41.9, 47.6, 0.8, 14.2, 11.8, 10.3, 0.0, 0.0, 40.5, 0.344, 2.1, 0.6], '20140101-20140114'], [[86.0, 1.8, -0.7, 97.8, 21.6, 37.5, 49.9, 1.8, 16.7, 8.6, 14.9, 0.7, 1.8, 70.8, 0.405, 3.9, 0.182], '20140114-20140201'], [[87.5, 5.0, 5.4, 113.1, 27.3, 46.9, 56.8, 4.0, 8.9, 11.6, 13.4, 0.0, 1.4, 79.2, 0.441, 6.4, 0.357], '20140201-20140214'], [[90.6, 4.6, 2.9, 120.5, 20.5, 61.1, 60.4, 7.7, 14.1, 13.2, 12.3, 0.0, 1.3, 33.3, 0.548, 5.9, 0.5], '20140214-20140301'], [[88.3, 4.1, 4.5, 120.5, 20.1, 50.0, 54.2, 5.2, 13.7, 12.1, 5.6, 3.3, 2.3, 54.5, 0.571, 6.8, 0.25], '20140301-20140314']], ""['Colorado', 'St.', 'MWC']""]"
D'Angelo Harrison,"[[[[90.0, 9.1, 9.0, 133.0, 28.8, 50.0, 59.2, 0.0, 13.5, 6.2, 5.8, 3.6, 0.0, 42.1, 0.667, 11.6, 0.143], '20131101-20131114'], [[71.8, 3.1, 3.8, 103.4, 32.4, 43.1, 51.2, 0.6, 12.3, 16.3, 10.4, 0.6, 2.4, 51.7, 0.42, 12.5, 0.297], '20131114-20131201'], [[52.5, 2.7, -0.7, 123.3, 26.7, 62.5, 65.7, 8.3, 9.1, 12.1, 20.5, 3.9, 0.0, 50.0, 0.5, 10.9, 0.5], '20131201-20131214'], [[81.0, 6.5, 10.7, 133.8, 24.5, 54.2, 60.3, 2.6, 14.0, 13.0, 1.5, 0.7, 0.7, 45.1, 0.388, 7.9, 0.591], '20131214-20140101'], [[78.3, 2.9, 3.8, 99.9, 28.3, 39.3, 49.0, 4.3, 14.5, 4.5, 13.0, 1.2, 2.5, 45.2, 0.321, 8.6, 0.357], '20140101-20140114'], [[83.4, 3.5, 6.5, 110.8, 23.6, 48.9, 54.5, 1.5, 13.0, 10.0, 10.5, 1.8, 3.0, 32.3, 0.434, 9.9, 0.375], '20140114-20140201'], [[83.8, 6.0, 10.6, 126.0, 25.1, 48.0, 61.0, 0.9, 15.9, 9.8, 7.0, 3.0, 2.6, 71.4, 0.269, 10.1, 0.478], '20140201-20140214'], [[86.9, 2.5, 2.4, 99.0, 22.3, 34.4, 44.2, 6.6, 9.2, 10.1, 11.8, 1.6, 1.8, 37.5, 0.31, 8.3, 0.263], '20140214-20140301'], [[93.8, 4.9, 5.9, 114.3, 26.0, 54.3, 59.0, 5.5, 18.0, 20.1, 16.2, 2.4, 0.5, 45.7, 0.464, 8.4, 0.444], '20140301-20140314'], [[72.5, -0.1, -5.8, 86.1, 22.5, 34.6, 34.6, 5.6, 12.2, 16.6, 8.3, 0.0, 0.0, 0.0, 0.0, 11.3, 0.5], '20140314-20140401']], '[\'St.\', ""John\'s"", \'BE\']']"
Ryan Harrow,"[[[[95.0, 8.9, 9.6, 127.4, 31.2, 50.0, 56.6, 3.0, 10.9, 24.1, 5.0, 0.0, 3.1, 28.6, 0.529, 6.2, 0.25], '20131101-20131114'], [[81.5, 3.4, -0.0, 104.1, 33.3, 44.8, 48.0, 4.8, 7.7, 25.2, 9.8, 0.0, 2.2, 29.1, 0.466, 4.7, 0.231], '20131114-20131201'], [[90.6, 7.3, 8.1, 120.6, 32.9, 50.0, 59.6, 1.6, 8.6, 25.1, 7.5, 0.0, 2.4, 57.1, 0.481, 6.5, 0.375], '20131201-20131214'], [[86.3, 7.2, 7.8, 134.8, 30.9, 57.5, 64.8, 1.9, 9.0, 33.4, 7.0, 0.0, 3.0, 55.0, 0.614, 6.9, 0.313], '20131214-20140101'], [[85.8, 0.6, -6.8, 86.3, 28.7, 33.3, 38.6, 2.7, 4.9, 29.3, 12.0, 0.0, 1.2, 16.7, 0.368, 2.3, 0.0], '20140101-20140114'], [[85.9, 2.9, -1.3, 105.5, 26.3, 46.5, 49.7, 2.7, 4.3, 25.4, 11.3, 0.0, 1.6, 25.0, 0.473, 5.6, 0.294], '20140114-20140201'], [[82.4, 3.6, 2.9, 111.4, 28.7, 50.0, 55.4, 1.3, 8.5, 26.9, 16.1, 0.0, 4.1, 32.6, 0.515, 5.8, 0.3], '20140201-20140214'], [[83.3, 3.9, 1.5, 115.6, 25.1, 46.5, 52.2, 0.7, 5.9, 28.5, 6.3, 0.0, 1.9, 31.0, 0.482, 4.7, 0.267], '20140214-20140301'], [[81.6, 2.6, 1.7, 98.5, 29.9, 44.2, 50.0, 1.2, 5.2, 17.8, 12.0, 0.0, 2.4, 44.2, 0.406, 6.6, 0.364], '20140301-20140314'], [[95.2, 6.8, 7.6, 121.1, 29.5, 54.8, 59.7, 4.1, 7.4, 19.4, 7.3, 0.9, 1.6, 26.9, 0.558, 4.9, 0.333], '20140314-20140401']], ""['Georgia', 'St.', 'SB']""]"
