Player,Stats
Dallas Moore,"[[[[95.0, 10.4, 6.9, 143.3, 30.9, 62.5, 62.1, 0.0, 7.2, 44.9, 0.0, 0.0, 0.0, 10.0, 0.571, 8.7, 0.5], '20151101-20151114'], [[88.5, 4.5, 4.0, 114.2, 28.2, 51.4, 55.8, 2.1, 14.4, 35.2, 12.4, 0.5, 1.6, 30.6, 0.442, 9.2, 0.414], '20151114-20151201'], [[90.0, 6.1, -1.3, 118.9, 28.7, 52.7, 55.6, 2.8, 15.2, 24.5, 8.7, 0.0, 0.5, 16.1, 0.55, 8.0, 0.313], '20151201-20151214'], [[88.0, 5.3, 2.3, 121.0, 26.4, 59.7, 61.3, 3.4, 10.0, 30.7, 13.1, 0.4, 0.3, 10.4, 0.607, 6.6, 0.381], '20151214-20160101'], [[94.4, 5.8, 1.1, 135.3, 21.8, 58.3, 62.2, 2.4, 3.5, 25.1, 8.4, 0.7, 1.5, 27.8, 0.659, 4.8, 0.231], '20160101-20160114'], [[94.2, 5.9, 3.8, 129.0, 26.3, 61.2, 63.4, 1.5, 7.9, 32.0, 12.4, 0.3, 2.0, 33.7, 0.614, 8.0, 0.406], '20160114-20160201'], [[96.3, 3.1, -0.7, 109.0, 25.1, 50.0, 48.9, 2.8, 8.0, 27.6, 9.9, 0.0, 2.1, 27.7, 0.55, 8.8, 0.28], '20160201-20160214'], [[88.8, 5.8, 4.1, 132.1, 26.6, 68.4, 68.6, 1.8, 5.5, 37.1, 16.1, 0.0, 1.6, 36.7, 0.639, 5.1, 0.538], '20160214-20160301'], [[82.5, 5.1, 6.3, 128.1, 26.2, 68.2, 66.8, 1.6, 7.3, 42.7, 13.6, 0.0, 0.9, 54.5, 0.706, 4.5, 0.4], '20160301-20160314'], [[90.0, 6.2, 3.1, 109.6, 30.4, 60.0, 66.2, 0.0, 22.2, 36.8, 24.0, 0.0, 0.0, 33.3, 0.6, 7.3, 0.4], '20160314-20160401']], ""['North', 'Florida', 'ASun']""]"
Hayden Graham,"[[[[92.5, 9.9, 10.7, 172.6, 16.1, 87.5, 83.9, 13.9, 15.1, 7.5, 0.0, 0.0, 0.0, 87.5, 1.0, 1.6, 0.0], '20151101-20151114'], [[90.7, 2.3, 3.9, 102.8, 22.3, 51.6, 52.4, 7.8, 16.2, 23.5, 16.5, 1.9, 2.5, 19.0, 0.481, 3.4, 0.455], '20151114-20151201'], [[86.3, 1.1, -1.9, 97.4, 21.5, 51.0, 53.6, 9.2, 20.3, 11.6, 21.5, 0.0, 1.9, 14.6, 0.548, 2.3, 0.167], '20151201-20151214'], [[92.5, 6.5, 7.8, 134.4, 18.6, 86.4, 83.7, 4.2, 7.9, 7.0, 17.6, 0.0, 0.0, 18.2, 0.714, 6.5, 0.75], '20151214-20160101'], [[90.0, 0.4, -1.1, 93.4, 18.4, 51.3, 52.6, 2.2, 10.9, 15.9, 17.2, 0.0, 1.6, 30.8, 0.586, 4.0, 0.2], '20160101-20160114'], [[89.5, 2.1, 0.0, 102.3, 20.9, 49.2, 52.9, 2.4, 11.0, 13.4, 9.6, 0.7, 1.7, 28.8, 0.378, 7.4, 0.455], '20160114-20160201'], [[92.5, 4.4, 4.9, 116.4, 19.9, 60.0, 60.2, 2.6, 13.2, 21.9, 12.9, 1.0, 1.3, 30.0, 0.563, 3.4, 0.5], '20160201-20160214'], [[80.6, 0.4, -2.2, 87.2, 22.4, 52.2, 51.2, 2.9, 23.4, 6.7, 19.9, 4.1, 2.2, 17.8, 0.615, 8.5, 0.263], '20160214-20160301'], [[85.9, -0.1, -6.8, 86.5, 20.9, 40.0, 43.8, 4.1, 10.4, 13.4, 21.7, 2.9, 1.0, 22.9, 0.538, 4.5, 0.0], '20160301-20160314']], ""['Air', 'Force', 'MWC']""]"
Derreck Brooks,"[[[[95.0, 9.7, 10.7, 157.5, 19.1, 78.1, 78.1, 0.0, 13.2, 17.1, 7.5, 2.4, 1.4, 0.0, 0.714, 13.0, 0.556], '20151101-20151114'], [[79.2, 2.4, 1.7, 110.0, 20.3, 51.4, 53.2, 6.3, 14.9, 14.1, 14.4, 3.6, 2.9, 10.0, 0.49, 6.1, 0.381], '20151114-20151201'], [[78.3, 1.8, 0.9, 98.0, 18.9, 48.3, 51.8, 3.1, 13.6, 12.8, 15.1, 6.5, 0.6, 27.6, 0.4, 5.1, 0.444], '20151201-20151214'], [[83.8, -1.5, -5.1, 81.8, 13.0, 34.4, 37.3, 1.5, 6.5, 9.9, 6.2, 4.4, 0.0, 18.8, 0.5, 6.4, 0.125], '20151214-20160101'], [[78.8, 2.6, 3.0, 107.6, 25.3, 51.1, 53.6, 12.0, 16.2, 28.5, 19.6, 2.2, 2.9, 31.9, 0.5, 4.5, 0.364], '20160101-20160114'], [[90.8, 2.0, 1.5, 110.8, 19.9, 52.4, 55.8, 7.2, 12.2, 10.5, 18.7, 4.8, 3.3, 19.5, 0.458, 7.9, 0.412], '20160114-20160201'], [[68.1, 1.3, 0.9, 111.2, 20.0, 56.1, 60.4, 5.6, 21.0, 15.3, 21.9, 3.9, 3.0, 27.3, 0.471, 7.8, 0.438], '20160201-20160214'], [[71.5, 2.3, -3.1, 116.5, 22.0, 47.9, 54.4, 9.4, 17.0, 21.7, 15.7, 0.8, 0.0, 39.6, 0.424, 5.7, 0.4], '20160214-20160301'], [[88.8, -2.3, -8.6, 75.2, 18.3, 25.0, 29.0, 4.4, 18.0, 11.7, 9.1, 0.0, 2.5, 16.7, 0.188, 6.7, 0.25], '20160301-20160314']], ""['Central', 'Arkansas', 'Slnd']""]"
Reggie McAdams,"[[[[70.0, 9.6, 15.3, 221.4, 6.7, 112.5, 111.7, 0.0, 16.2, 7.2, 0.0, 3.7, 0.0, 25.0, 0.0, 6.5, 1.0], '20151101-20151114'], [[70.5, 3.0, 7.1, 124.4, 14.8, 68.6, 67.6, 1.5, 12.8, 5.7, 14.1, 1.4, 0.8, 34.3, 0.429, 11.6, 0.5], '20151114-20151201'], [[58.3, 0.7, -0.8, 110.5, 15.2, 50.0, 53.4, 1.4, 8.6, 2.6, 10.3, 1.3, 0.0, 33.3, 0.0, 16.5, 0.333], '20151201-20151214'], [[61.7, 1.7, 3.0, 110.0, 18.6, 47.5, 50.2, 8.4, 8.0, 17.0, 16.9, 0.0, 1.5, 20.0, 0.333, 10.9, 0.357], '20151214-20160101'], [[71.3, 3.4, 2.8, 134.6, 14.9, 63.6, 66.6, 2.5, 11.4, 3.5, 3.4, 0.0, 0.0, 24.2, 0.429, 13.2, 0.462], '20160101-20160114'], [[61.5, 3.3, 6.8, 127.7, 19.0, 70.0, 68.5, 5.6, 18.2, 7.5, 7.7, 0.9, 1.9, 27.5, 0.636, 14.1, 0.483], '20160114-20160201'], [[65.6, 2.4, 0.3, 114.3, 20.9, 52.5, 53.1, 8.7, 13.2, 5.2, 5.2, 0.0, 1.1, 17.5, 0.5, 18.4, 0.353], '20160201-20160214'], [[67.5, 3.8, 9.0, 135.7, 17.1, 70.7, 70.3, 2.5, 9.9, 4.1, 10.0, 1.5, 3.4, 10.9, 0.571, 16.6, 0.487], '20160214-20160301'], [[68.5, 3.2, 8.2, 121.0, 21.1, 52.9, 58.9, 2.3, 10.9, 5.7, 6.1, 2.2, 3.0, 31.4, 0.333, 18.1, 0.381], '20160301-20160314'], [[71.1, 1.9, 8.9, 91.9, 28.0, 34.4, 36.4, 15.3, 15.6, 16.2, 6.9, 3.1, 3.9, 6.3, 0.5, 27.0, 0.214], '20160314-20160401']], ""['Akron', 'MAC']""]"
Malcolm McMillan,"[[[[95.0, 9.4, 13.1, 141.9, 28.7, 75.0, 77.0, 0.0, 5.8, 31.1, 14.5, 5.7, 0.0, 15.0, 0.818, 12.4, 0.444], '20151101-20151114'], [[83.6, 6.7, 7.0, 145.0, 21.0, 61.4, 69.6, 2.1, 5.9, 17.6, 9.5, 1.6, 0.8, 81.8, 0.577, 7.2, 0.444], '20151114-20151201'], [[83.1, 1.8, -2.4, 99.9, 21.4, 40.7, 47.0, 2.1, 9.0, 29.4, 18.7, 1.4, 1.2, 39.5, 0.4, 7.2, 0.278], '20151201-20151214'], [[84.4, 3.7, 3.2, 118.2, 21.9, 42.9, 56.5, 2.8, 8.2, 20.3, 11.1, 2.0, 2.5, 128.6, 0.375, 5.8, 0.333], '20151214-20160101'], [[82.5, 2.6, -0.1, 108.4, 22.5, 43.3, 54.4, 3.9, 6.1, 26.8, 20.0, 1.5, 1.7, 68.9, 0.45, 8.6, 0.28], '20160101-20160114'], [[87.5, 2.8, -0.9, 111.2, 20.7, 45.7, 58.3, 1.1, 15.3, 23.2, 17.9, 2.4, 0.6, 85.1, 0.5, 3.7, 0.231], '20160114-20160201'], [[82.5, 2.2, -1.8, 108.5, 18.3, 40.9, 50.6, 0.0, 8.5, 19.5, 7.4, 0.0, 0.9, 66.7, 0.286, 5.4, 0.417], '20160201-20160214'], [[81.5, 3.8, 2.6, 128.1, 18.1, 48.8, 58.0, 0.0, 15.8, 20.5, 6.2, 1.6, 0.7, 51.2, 0.444, 6.0, 0.375], '20160214-20160301'], [[77.9, 2.6, -3.3, 107.4, 24.3, 44.4, 55.7, 0.0, 1.7, 29.1, 18.2, 1.5, 0.9, 83.3, 0.667, 5.3, 0.0], '20160301-20160314']], ""['Canisius', 'MAAC']""]"
Shakir Brown,"[[[[75.0, 9.4, 20.1, 176.9, 20.7, 66.7, 71.9, 12.1, 40.0, 12.1, 0.0, 0.0, 4.1, 33.3, 0.333, 12.1, 0.667], '20151101-20151114'], [[60.0, 3.6, 7.6, 122.0, 27.3, 59.0, 65.0, 12.0, 22.7, 13.4, 19.6, 2.3, 1.2, 52.0, 0.455, 11.5, 0.464], '20151114-20151201'], [[74.2, 3.1, 3.1, 113.7, 24.2, 50.0, 54.7, 7.2, 12.2, 11.3, 10.5, 0.0, 0.0, 44.1, 0.417, 13.9, 0.364], '20151201-20151214'], [[65.8, 3.1, 4.1, 115.0, 21.6, 50.0, 54.6, 3.5, 8.7, 19.1, 10.8, 1.6, 2.3, 26.9, 0.5, 14.0, 0.333], '20151214-20160101'], [[63.1, 0.3, 0.7, 98.8, 15.9, 44.8, 47.8, 3.3, 22.3, 3.9, 10.9, 1.3, 2.9, 17.2, 0.467, 8.1, 0.286], '20160101-20160114'], [[64.5, 2.5, 5.7, 111.6, 23.1, 56.1, 57.4, 8.6, 19.8, 9.6, 14.3, 2.3, 0.4, 21.1, 0.5, 10.7, 0.414], '20160114-20160201'], [[64.2, 1.2, -1.0, 94.7, 22.9, 46.3, 48.9, 4.2, 16.2, 11.0, 19.2, 0.0, 2.2, 10.0, 0.44, 8.3, 0.333], '20160201-20160214']], ""['James', 'Madison', 'CAA']""]"
Jeremy Morgan,"[[[[82.5, 9.2, 13.2, 186.6, 16.2, 87.5, 92.2, 10.7, 11.4, 0.0, 0.0, 0.0, 3.4, 75.0, 0.8, 5.3, 0.667], '20151101-20151114'], [[72.5, 5.4, 11.9, 145.9, 16.9, 80.6, 81.1, 7.6, 14.2, 3.8, 11.8, 3.0, 4.0, 74.2, 0.765, 5.6, 0.571], '20151114-20151201'], [[75.0, 2.2, 5.1, 117.6, 14.2, 41.2, 47.9, 6.8, 11.7, 16.4, 4.8, 3.5, 3.4, 35.3, 0.4, 4.8, 0.286], '20151201-20151214'], [[83.0, 5.9, 12.6, 136.9, 18.3, 65.4, 69.4, 5.2, 9.2, 14.0, 8.0, 1.4, 4.8, 53.8, 0.682, 6.2, 0.412], '20151214-20160101'], [[65.0, 0.7, -0.5, 95.7, 20.2, 41.7, 46.3, 6.1, 19.1, 22.5, 21.2, 1.2, 1.2, 16.7, 0.389, 3.7, 0.333], '20160101-20160114'], [[84.0, 0.8, 5.9, 95.2, 15.7, 48.5, 50.3, 3.6, 16.2, 12.8, 17.4, 2.2, 5.9, 24.2, 0.467, 7.0, 0.333], '20160114-20160201'], [[89.4, 5.2, 8.7, 127.9, 18.7, 59.7, 65.7, 3.9, 12.3, 21.8, 12.2, 3.6, 2.3, 32.3, 0.533, 7.3, 0.438], '20160201-20160214'], [[81.3, 1.0, 5.1, 88.4, 24.0, 37.9, 45.6, 3.1, 22.0, 24.5, 20.5, 6.9, 4.4, 48.5, 0.444, 7.4, 0.2], '20160214-20160301'], [[82.4, 4.7, 12.5, 119.0, 20.1, 68.2, 67.4, 2.5, 11.4, 5.1, 13.1, 5.7, 3.9, 59.1, 0.375, 9.2, 0.571], '20160301-20160314'], [[94.4, 8.8, 15.5, 133.2, 24.5, 66.7, 73.1, 1.5, 18.3, 13.2, 11.4, 4.4, 2.8, 66.7, 0.643, 9.1, 0.462], '20160314-20160401']], ""['Northern', 'Iowa', 'MVC']""]"
Rayshawn Simmons,"[[[[100.0, 9.1, 3.9, 146.0, 27.8, 60.0, 67.8, 3.6, 7.5, 17.6, 5.0, 0.0, 0.0, 100.0, 0.545, 5.6, 0.5], '20151101-20151114'], [[90.0, 1.7, -2.2, 96.2, 27.4, 40.0, 44.4, 5.9, 9.8, 37.6, 18.2, 0.0, 0.4, 50.0, 0.486, 6.2, 0.133], '20151114-20151201'], [[80.0, -0.6, -8.5, 80.0, 23.6, 35.3, 39.7, 2.3, 9.9, 27.8, 30.0, 0.0, 1.8, 23.5, 0.429, 2.7, 0.0], '20151201-20151214'], [[79.2, 5.0, 3.5, 126.4, 24.2, 53.2, 52.4, 6.9, 5.9, 40.2, 10.3, 0.0, 1.2, 35.5, 0.522, 5.0, 0.375], '20151214-20160101'], [[83.3, 3.5, -1.5, 108.5, 27.2, 52.9, 55.7, 2.3, 14.1, 29.3, 16.9, 0.0, 0.6, 48.6, 0.586, 3.4, 0.167], '20160101-20160114'], [[77.5, 1.3, -0.4, 95.1, 24.3, 47.8, 51.8, 3.8, 14.3, 18.6, 20.6, 0.0, 2.3, 41.3, 0.471, 4.6, 0.333], '20160114-20160201'], [[84.4, 3.7, 0.8, 111.3, 25.7, 47.0, 50.7, 3.3, 9.7, 31.1, 10.6, 0.0, 0.9, 22.0, 0.487, 5.0, 0.273], '20160201-20160214'], [[77.5, 1.0, -4.1, 96.3, 20.3, 34.6, 37.7, 5.6, 6.1, 29.9, 17.3, 0.0, 0.8, 25.6, 0.346, 5.1, 0.231], '20160214-20160301'], [[80.0, 1.3, -0.8, 101.9, 18.6, 37.0, 42.2, 4.8, 9.7, 22.4, 9.8, 0.0, 0.6, 29.6, 0.222, 5.5, 0.444], '20160301-20160314'], [[87.5, -0.8, -4.9, 87.7, 18.1, 38.9, 38.9, 3.2, 9.5, 20.3, 18.4, 0.0, 1.7, 0.0, 0.667, 10.0, 0.167], '20160314-20160401']], ""['Central', 'Michigan', 'MAC']""]"
Yonel Brown,"[[[[100.0, 9.0, 15.4, 120.0, 34.5, 61.9, 68.5, 2.5, 24.3, 12.5, 20.2, 0.0, 4.2, 38.1, 0.583, 12.5, 0.444], '20151101-20151114'], [[95.4, 0.6, -3.7, 88.9, 23.1, 43.8, 45.5, 1.1, 6.3, 10.9, 14.1, 0.0, 1.7, 18.8, 0.379, 9.3, 0.348], '20151114-20151201'], [[95.0, -1.5, -6.8, 69.6, 24.3, 32.1, 38.3, 4.6, 6.6, 9.4, 26.4, 0.0, 1.5, 25.0, 0.333, 7.1, 0.2], '20151201-20151214'], [[100.0, 4.9, 1.4, 108.5, 26.9, 52.3, 57.3, 1.5, 5.7, 17.4, 12.3, 0.0, 2.2, 28.8, 0.5, 11.0, 0.367], '20151214-20160101'], [[96.3, 1.2, -6.2, 97.7, 23.0, 51.5, 53.0, 3.0, 7.5, 8.9, 20.8, 0.0, 2.1, 12.1, 0.471, 11.0, 0.375], '20160101-20160114'], [[98.9, 2.7, -2.1, 107.6, 24.8, 51.7, 54.1, 1.6, 8.9, 14.1, 13.3, 0.0, 1.0, 20.2, 0.45, 12.2, 0.39], '20160114-20160201'], [[96.3, 4.4, 3.6, 122.7, 23.6, 60.8, 61.6, 2.9, 11.9, 13.3, 12.4, 0.0, 1.9, 26.2, 0.639, 10.6, 0.379], '20160201-20160214'], [[93.8, 2.3, -0.3, 104.1, 23.5, 44.7, 51.5, 1.5, 10.4, 10.9, 11.5, 0.0, 1.2, 33.3, 0.429, 11.2, 0.31], '20160214-20160301'], [[75.0, 5.3, 12.6, 124.4, 27.6, 66.7, 66.1, 0.0, 8.9, 19.5, 7.5, 0.0, 4.2, 41.7, 0.714, 10.3, 0.4], '20160301-20160314']], ""['Kennesaw', 'St.', 'ASun']""]"
Jordan Price,"[[[[97.5, 9.0, 12.7, 143.3, 25.5, 69.2, 74.1, 3.2, 11.4, 13.8, 5.9, 0.0, 1.5, 84.6, 0.6, 12.0, 0.5], '20151101-20151114'], [[84.4, 6.2, 9.6, 127.4, 30.7, 63.1, 67.3, 1.8, 12.2, 14.9, 11.4, 0.7, 2.6, 44.6, 0.556, 12.8, 0.483], '20151114-20151201'], [[92.5, 4.8, 5.3, 102.9, 34.3, 58.5, 58.5, 2.9, 11.7, 28.5, 20.4, 0.0, 1.6, 34.0, 0.571, 13.4, 0.4], '20151201-20151214'], [[87.5, 0.1, -3.5, 76.9, 30.4, 40.9, 42.7, 0.0, 20.2, 18.2, 15.7, 0.0, 2.4, 21.2, 0.375, 13.5, 0.294], '20151214-20160101'], [[96.3, 3.2, 3.4, 94.2, 32.4, 46.7, 51.8, 2.2, 14.6, 26.8, 20.6, 2.3, 1.9, 55.7, 0.346, 13.7, 0.371], '20160101-20160114'], [[99.5, 1.1, -0.3, 80.9, 32.1, 39.9, 42.3, 1.6, 19.0, 22.4, 16.3, 0.5, 1.0, 21.3, 0.365, 12.1, 0.297], '20160114-20160201'], [[99.4, 0.2, -6.5, 83.4, 22.3, 43.0, 46.9, 0.9, 17.7, 18.2, 25.8, 0.0, 1.5, 34.9, 0.364, 8.1, 0.333], '20160201-20160214'], [[96.9, 2.7, 2.2, 98.5, 26.2, 49.2, 54.4, 3.4, 9.5, 20.2, 19.2, 3.7, 1.5, 25.4, 0.393, 12.0, 0.387], '20160214-20160301'], [[98.8, 2.3, -1.8, 92.2, 31.2, 39.8, 45.6, 3.3, 18.7, 13.5, 12.6, 1.4, 1.4, 28.9, 0.366, 14.9, 0.286], '20160301-20160314']], ""['La', 'Salle', 'A10']""]"
