Player,Stats
Jordan Ford,"[[[[90.0, 10.4, 18.3, 148.2, 32.4, 60.8, 68.4, 1.2, 4.2, 24.5, 3.6, 0.0, 5.2, 49.0, 0.647, 9.9, 0.353], '20181101-20181114'], [[93.3, 5.3, 6.0, 110.4, 29.4, 44.8, 51.9, 1.1, 7.9, 21.8, 9.4, 0.0, 1.9, 40.2, 0.465, 7.2, 0.269], '20181114-20181201'], [[79.4, 6.6, 8.7, 138.2, 26.0, 78.1, 78.0, 2.6, 7.1, 19.3, 16.5, 0.0, 1.4, 31.3, 0.643, 9.5, 0.65], '20181201-20181214'], [[83.8, 5.6, 10.5, 117.9, 31.5, 59.7, 60.6, 2.7, 8.0, 18.3, 15.3, 0.0, 3.1, 13.9, 0.56, 9.6, 0.455], '20181214-20190101'], [[94.2, 6.2, 6.3, 122.5, 26.3, 65.6, 66.6, 1.1, 5.4, 17.9, 16.2, 0.0, 1.1, 17.8, 0.633, 8.0, 0.467], '20190101-20190114'], [[98.2, 3.7, 5.0, 108.8, 23.3, 45.8, 51.1, 0.7, 5.0, 11.2, 14.7, 0.0, 3.8, 37.3, 0.405, 8.4, 0.364], '20190114-20190201'], [[95.0, 7.6, 7.1, 130.6, 25.1, 54.5, 60.9, 1.6, 11.9, 12.1, 6.7, 0.0, 1.2, 51.8, 0.526, 7.5, 0.389], '20190201-20190214'], [[95.0, 6.4, 9.3, 124.7, 27.2, 58.5, 61.4, 3.4, 11.5, 12.0, 9.0, 0.0, 1.4, 47.9, 0.568, 9.4, 0.407], '20190214-20190301'], [[98.3, 5.6, 6.2, 106.3, 27.1, 50.0, 54.0, 1.1, 7.0, 4.1, 12.1, 1.0, 1.6, 16.3, 0.486, 7.7, 0.357], '20190301-20190314'], [[100.0, 1.7, -2.7, 89.6, 25.9, 38.2, 38.2, 0.0, 10.7, 17.6, 6.9, 0.0, 0.0, 0.0, 0.5, 12.5, 0.143], '20190314-20190401']], '[\'Saint\', ""Mary\'s"", \'WCC\']']"
Brandon Childress,"[[[[90.0, 10.4, 10.9, 186.2, 16.1, 78.6, 87.2, 0.0, 12.7, 28.3, 10.0, 0.0, 1.6, 100.0, 0.5, 8.0, 0.6], '20181101-20181114'], [[92.2, 4.3, 5.2, 124.6, 20.2, 66.7, 71.1, 0.0, 10.2, 25.0, 21.4, 0.0, 2.6, 59.6, 0.56, 8.2, 0.5], '20181114-20181201'], [[87.5, 3.3, 3.5, 118.3, 20.4, 57.1, 59.3, 0.0, 14.5, 19.2, 16.4, 0.0, 3.4, 42.9, 0.667, 10.0, 0.333], '20181201-20181214'], [[93.3, 3.9, 6.1, 111.4, 22.2, 50.0, 54.7, 1.0, 7.9, 25.6, 9.3, 0.0, 3.1, 78.1, 0.333, 10.4, 0.4], '20181214-20190101'], [[91.9, 5.5, 5.5, 123.8, 19.5, 51.1, 59.2, 1.3, 7.9, 22.4, 15.3, 0.0, 1.9, 52.3, 0.333, 9.7, 0.423], '20190101-20190114'], [[90.5, 2.0, -1.3, 87.5, 27.9, 41.8, 49.0, 3.0, 11.5, 25.6, 29.5, 0.0, 2.0, 39.3, 0.444, 11.7, 0.265], '20190114-20190201'], [[86.4, 0.6, -3.1, 82.0, 21.5, 37.9, 39.9, 1.9, 7.6, 26.4, 24.1, 0.0, 2.3, 21.2, 0.167, 12.1, 0.333], '20190201-20190214'], [[83.8, 3.1, 4.4, 105.2, 21.6, 48.9, 54.2, 0.7, 15.5, 27.6, 20.9, 0.0, 2.5, 31.1, 0.308, 13.1, 0.375], '20190214-20190301'], [[95.0, 2.5, 2.1, 95.1, 20.9, 39.8, 44.4, 1.3, 11.9, 18.3, 14.5, 0.7, 2.3, 22.2, 0.393, 9.8, 0.269], '20190301-20190314']], ""['Wake', 'Forest', 'ACC']""]"
Ja Morant,"[[[[92.5, 9.5, 13.7, 123.6, 40.1, 64.7, 67.1, 3.9, 11.4, 73.5, 28.1, 2.9, 1.6, 29.4, 0.727, 9.7, 0.333], '20181101-20181114'], [[99.2, 7.3, 10.2, 111.7, 38.8, 58.5, 63.6, 7.6, 22.1, 48.6, 25.0, 0.8, 1.4, 47.5, 0.615, 9.2, 0.35], '20181114-20181201'], [[88.3, 6.5, 13.4, 127.6, 28.5, 62.5, 68.7, 5.6, 13.4, 49.4, 21.5, 0.0, 3.4, 62.5, 0.636, 5.6, 0.4], '20181201-20181214'], [[95.8, 5.8, 7.1, 109.6, 34.5, 43.0, 49.7, 5.9, 13.7, 60.9, 17.2, 3.0, 2.0, 52.0, 0.526, 5.9, 0.083], '20181214-20190101'], [[93.1, 6.3, 6.6, 121.0, 35.0, 63.2, 66.1, 3.9, 11.4, 54.4, 27.2, 2.2, 1.1, 49.1, 0.659, 5.9, 0.375], '20190101-20190114'], [[90.0, 7.1, 12.2, 120.4, 37.9, 50.0, 59.6, 1.9, 9.2, 58.0, 16.5, 1.6, 3.7, 65.9, 0.491, 10.0, 0.344], '20190114-20190201'], [[97.5, 4.3, 5.8, 102.7, 38.1, 48.7, 55.9, 3.6, 8.3, 35.8, 23.7, 2.1, 3.7, 48.0, 0.473, 7.2, 0.35], '20190201-20190214'], [[90.0, 6.1, 12.0, 118.3, 36.6, 57.1, 62.7, 4.1, 12.3, 48.3, 22.0, 4.4, 2.5, 50.0, 0.564, 7.1, 0.391], '20190214-20190301'], [[100.0, 7.5, 8.0, 112.8, 39.2, 52.5, 59.6, 4.2, 13.0, 41.4, 20.0, 3.0, 0.9, 55.7, 0.542, 6.0, 0.308], '20190301-20190314'], [[96.3, 7.9, 14.0, 116.5, 31.2, 55.0, 61.4, 2.7, 16.5, 56.9, 20.9, 1.2, 1.4, 46.7, 0.273, 5.8, 0.875], '20190314-20190401']], ""['Murray', 'St.', 'OVC']""]"
Devontae Shuler,"[[[[72.5, 9.4, 9.1, 219.6, 7.7, 108.3, 108.3, 0.0, 4.4, 0.0, 0.0, 0.0, 3.8, 0.0, 1.0, 7.8, 0.75], '20181101-20181114'], [[86.3, 2.1, 4.3, 109.0, 16.6, 50.0, 55.2, 3.9, 14.1, 20.3, 21.9, 0.5, 2.5, 36.4, 0.52, 5.3, 0.316], '20181114-20181201'], [[76.7, 3.2, 6.3, 126.3, 16.5, 61.9, 65.5, 3.0, 9.4, 18.7, 20.2, 0.0, 3.3, 19.0, 0.636, 6.7, 0.4], '20181201-20181214'], [[71.7, 2.8, 4.1, 125.4, 15.7, 54.5, 56.5, 3.2, 10.5, 17.9, 12.7, 2.4, 2.6, 18.2, 0.5, 6.7, 0.4], '20181214-20190101'], [[90.0, 3.0, 2.2, 109.3, 17.5, 46.2, 54.4, 5.7, 8.1, 11.5, 17.7, 0.0, 2.1, 50.0, 0.4, 5.7, 0.364], '20190101-20190114'], [[70.2, 0.8, 3.1, 96.2, 14.6, 43.3, 46.3, 2.3, 11.7, 19.7, 24.8, 0.0, 4.0, 16.7, 0.412, 5.2, 0.308], '20190114-20190201'], [[79.4, 2.8, 5.5, 109.1, 18.6, 51.4, 54.8, 1.9, 13.9, 20.3, 17.7, 0.0, 3.7, 20.0, 0.273, 11.3, 0.417], '20190201-20190214'], [[85.6, 1.9, 3.6, 102.0, 16.8, 52.8, 54.7, 1.6, 12.9, 14.5, 17.7, 0.8, 3.0, 13.9, 0.438, 8.5, 0.4], '20190214-20190301'], [[78.8, 4.7, 10.4, 117.5, 21.1, 66.7, 67.8, 3.0, 18.3, 20.8, 20.4, 1.6, 2.9, 22.2, 0.682, 6.7, 0.429], '20190301-20190314'], [[90.0, 3.6, 5.5, 106.4, 20.0, 59.1, 58.8, 1.5, 12.9, 16.3, 16.6, 2.5, 0.8, 9.1, 0.636, 9.1, 0.364], '20190314-20190401']], ""['Mississippi', 'SEC']""]"
Brandon Armstrong,"[[[[82.5, 9.3, 12.5, 208.4, 10.7, 111.1, 110.6, 0.0, 23.6, 0.0, 0.0, 0.0, 0.0, 22.2, 0.5, 11.7, 0.857], '20181101-20181114'], [[77.5, 0.2, -3.4, 91.9, 18.2, 42.7, 49.8, 2.3, 9.6, 1.6, 15.1, 0.0, 1.2, 31.7, 0.412, 9.4, 0.292], '20181114-20181201'], [[63.3, -2.0, -8.0, 70.3, 14.7, 25.0, 35.4, 0.0, 8.0, 3.0, 16.1, 0.0, 0.0, 50.0, 0.143, 7.1, 0.222], '20181201-20181214'], [[48.3, 3.0, 1.9, 162.6, 8.6, 95.5, 95.5, 0.0, 13.3, 3.4, 11.5, 0.0, 1.0, 0.0, 1.0, 7.9, 0.625], '20190101-20190114'], [[42.0, 1.4, 0.7, 116.6, 17.4, 45.2, 53.3, 1.4, 8.8, 11.8, 0.0, 0.0, 1.4, 71.4, 0.833, 10.4, 0.2], '20190114-20190201'], [[57.6, 2.8, 1.0, 139.4, 16.2, 87.5, 84.2, 2.8, 21.3, 4.4, 14.3, 0.0, 0.0, 50.0, 0.6, 8.2, 0.714], '20190201-20190214'], [[63.8, 2.2, 3.8, 122.5, 16.8, 53.8, 57.3, 2.7, 15.7, 18.1, 6.9, 0.0, 1.7, 15.4, 0.556, 9.9, 0.353], '20190214-20190301'], [[46.3, -1.6, -8.4, 72.5, 12.5, 16.7, 33.9, 2.8, 6.7, 0.0, 12.1, 0.0, 3.0, 100.0, 0.333, 4.5, 0.0], '20190301-20190314']], ""['South', 'Dakota', 'Sum']""]"
Carlik Jones,"[[[[46.3, 9.1, 10.2, 128.7, 35.8, 50.0, 56.3, 3.1, 3.0, 64.5, 9.2, 0.0, 6.6, 38.9, 0.643, 6.6, 0.0], '20181101-20181114'], [[59.4, 2.5, 3.1, 99.7, 27.9, 44.6, 49.2, 2.5, 17.7, 26.6, 16.1, 0.0, 3.8, 32.4, 0.5, 4.5, 0.143], '20181114-20181201'], [[83.8, 1.1, -3.1, 86.9, 32.7, 46.6, 48.7, 1.7, 16.2, 33.7, 24.0, 0.0, 4.4, 20.7, 0.545, 6.1, 0.143], '20181201-20181214'], [[85.6, 5.2, 3.4, 110.7, 27.7, 48.1, 50.3, 0.8, 15.9, 39.4, 13.0, 0.0, 1.8, 30.2, 0.457, 3.2, 0.429], '20181214-20190101'], [[89.2, 5.3, 5.5, 126.4, 26.9, 64.6, 73.7, 1.4, 17.3, 46.6, 23.7, 0.0, 1.6, 116.7, 0.688, 4.3, 0.375], '20190101-20190114'], [[84.0, 3.3, 3.7, 110.6, 27.2, 57.5, 58.6, 3.0, 18.8, 34.9, 24.9, 0.0, 3.4, 30.2, 0.639, 6.4, 0.294], '20190114-20190201'], [[80.0, 5.3, 6.7, 119.1, 32.9, 58.3, 62.5, 2.3, 19.5, 40.0, 17.6, 1.3, 2.3, 50.0, 0.606, 5.2, 0.333], '20190201-20190214'], [[88.8, 2.4, 4.1, 101.2, 26.2, 37.5, 41.8, 1.5, 14.8, 41.5, 12.8, 1.1, 4.2, 23.2, 0.391, 4.2, 0.2], '20190214-20190301'], [[90.0, 2.7, 0.7, 103.1, 27.4, 44.7, 49.1, 2.4, 17.4, 21.6, 14.9, 0.0, 2.7, 22.8, 0.467, 5.4, 0.25], '20190301-20190314']], ""['Radford', 'BSth']""]"
Jared Harper,"[[[[78.8, 8.4, 14.3, 155.2, 21.7, 58.0, 61.3, 1.6, 20.4, 42.1, 12.1, 0.0, 1.8, 16.0, 0.111, 14.0, 0.563], '20181101-20181114'], [[87.3, 3.9, 6.0, 109.8, 23.0, 48.0, 51.1, 0.7, 8.6, 31.2, 20.5, 0.0, 2.4, 19.6, 0.381, 11.8, 0.367], '20181114-20181201'], [[81.3, 4.5, 5.5, 128.9, 22.0, 58.8, 68.2, 0.0, 7.9, 34.8, 20.7, 0.0, 1.8, 52.9, 0.2, 10.9, 0.5], '20181201-20181214'], [[83.6, 4.3, 4.4, 116.2, 24.3, 42.5, 49.6, 2.3, 10.0, 34.4, 14.6, 0.0, 0.4, 41.5, 0.387, 8.7, 0.318], '20181214-20190101'], [[91.3, 4.8, 4.5, 118.2, 21.7, 41.4, 47.3, 1.3, 4.8, 28.5, 10.3, 0.0, 1.5, 27.6, 0.273, 13.4, 0.333], '20190101-20190114'], [[84.0, 5.1, 4.5, 113.6, 25.5, 56.8, 59.0, 1.3, 5.5, 31.8, 20.7, 0.0, 1.3, 37.3, 0.63, 10.5, 0.344], '20190114-20190201'], [[79.4, 5.3, 7.3, 116.9, 25.9, 57.1, 66.8, 1.9, 10.1, 27.1, 25.1, 0.0, 2.3, 68.6, 0.417, 10.7, 0.435], '20190201-20190214'], [[85.0, 4.5, 8.2, 112.9, 23.8, 52.2, 55.5, 0.0, 5.5, 28.2, 13.1, 0.0, 2.7, 42.2, 0.267, 13.4, 0.433], '20190214-20190301'], [[81.3, 4.0, 2.6, 108.7, 24.3, 38.1, 46.5, 0.9, 6.5, 33.8, 11.3, 0.0, 3.7, 42.9, 0.5, 10.1, 0.182], '20190301-20190314'], [[75.4, 6.1, 7.8, 118.5, 29.5, 50.5, 58.3, 0.0, 8.5, 35.1, 15.7, 1.1, 2.5, 49.5, 0.514, 13.2, 0.333], '20190314-20190401']], ""['Auburn', 'SEC']""]"
Sincere Carry,"[[[[78.8, 8.3, 17.8, 156.7, 24.0, 66.7, 66.4, 5.1, 5.5, 50.5, 3.6, 1.8, 5.2, 18.5, 0.667, 7.8, 0.444], '20181101-20181114'], [[66.9, -2.7, -8.0, 58.2, 20.5, 27.3, 28.7, 3.0, 9.5, 32.2, 43.7, 0.0, 3.7, 22.7, 0.214, 4.2, 0.25], '20181114-20181201'], [[84.2, 3.7, 7.0, 128.6, 18.2, 54.3, 63.7, 1.1, 10.4, 29.3, 17.8, 1.1, 6.6, 69.6, 0.571, 4.9, 0.333], '20181201-20181214'], [[71.5, 3.2, 12.3, 114.0, 23.8, 53.3, 62.1, 3.6, 13.9, 48.3, 23.2, 0.9, 7.3, 83.3, 0.526, 5.0, 0.364], '20181214-20190101'], [[89.2, 2.3, 2.8, 106.1, 19.5, 68.8, 67.6, 2.2, 14.7, 24.2, 31.0, 0.0, 3.9, 16.7, 0.667, 3.3, 0.5], '20190101-20190114'], [[75.1, 3.9, 2.6, 112.2, 22.6, 53.5, 58.1, 0.7, 8.6, 34.9, 20.5, 0.6, 2.2, 67.4, 0.55, 8.2, 0.348], '20190114-20190201'], [[89.4, 0.6, 0.0, 84.7, 24.8, 41.5, 42.3, 0.0, 11.3, 32.3, 22.8, 1.3, 2.8, 15.1, 0.419, 8.9, 0.273], '20190201-20190214'], [[65.6, 1.4, -3.3, 93.7, 21.7, 37.5, 44.1, 2.0, 6.3, 26.7, 19.6, 0.0, 2.7, 28.1, 0.474, 6.9, 0.154], '20190301-20190314'], [[85.0, 0.8, -6.0, 99.6, 17.5, 40.9, 39.2, 2.9, 7.4, 22.4, 8.9, 0.0, 0.0, 9.1, 0.375, 4.7, 0.333], '20190314-20190401']], ""['Duquesne', 'A10']""]"
Antoine Smith,"[[[[77.5, 8.3, 13.6, 143.5, 16.5, 66.7, 73.4, 6.8, 11.2, 0.0, 11.3, 3.7, 0.0, 44.4, 0.5, 5.6, 0.667], '20181101-20181114'], [[52.2, 1.5, -3.6, 114.1, 17.8, 61.1, 63.7, 5.4, 13.6, 6.2, 16.0, 1.2, 0.6, 22.2, 0.5, 8.6, 0.467], '20181114-20181201'], [[57.5, -6.4, -12.8, 10.4, 9.3, 0.0, 0.0, 0.0, 6.0, 11.6, 26.3, 0.0, 0.0, 0.0, 0.0, 7.4, 0.0], '20181201-20181214'], [[62.5, 1.2, 0.2, 113.0, 12.8, 68.2, 68.2, 2.5, 21.7, 4.3, 18.5, 2.9, 1.2, 0.0, 0.0, 10.7, 0.556], '20181214-20190101'], [[84.2, 0.5, -3.7, 104.3, 15.5, 53.8, 53.8, 6.6, 20.4, 2.0, 15.5, 0.0, 1.2, 7.7, 0.579, 4.2, 0.286], '20190101-20190114'], [[52.2, -0.3, -10.5, 90.3, 17.9, 44.6, 48.6, 4.3, 7.5, 5.5, 18.8, 2.3, 0.6, 21.4, 0.556, 10.7, 0.263], '20190114-20190201'], [[52.5, 0.4, -7.6, 90.9, 24.8, 51.9, 56.8, 6.8, 12.9, 0.0, 23.8, 1.4, 0.7, 29.6, 0.533, 8.8, 0.333], '20190214-20190301'], [[59.2, 1.8, 0.9, 119.6, 15.2, 62.5, 62.5, 0.0, 11.0, 12.5, 10.6, 4.6, 2.4, 0.0, 0.333, 11.3, 0.5], '20190301-20190314']], ""['Jr.', 'Incarnate', 'Word', 'Slnd']""]"
Namon Wright,"[[[[72.5, 8.2, 17.5, 161.6, 21.9, 87.5, 87.0, 9.5, 18.8, 0.0, 8.0, 0.0, 1.8, 41.7, 0.75, 14.0, 0.625], '20181101-20181114'], [[46.5, 2.2, 7.2, 132.8, 15.7, 59.3, 63.3, 1.3, 20.1, 10.7, 7.5, 2.3, 2.3, 29.6, 0.583, 8.8, 0.4], '20181114-20181201']], ""['Colorado', 'P12']""]"
