Player,Stats
Marcus Marshall,"[[[[95.0, 16.3, 33.3, 195.2, 27.9, 93.8, 96.0, 0.0, 11.3, 0.0, 0.0, 3.1, 0.0, 50.0, 0.667, 13.0, 0.857], '20141101-20141114'], [[58.8, 7.4, 19.6, 148.2, 25.2, 82.6, 84.4, 0.0, 11.6, 11.2, 10.5, 1.3, 1.3, 30.2, 0.619, 14.5, 0.682], '20141114-20141201'], [[92.5, 5.8, 6.2, 132.7, 23.4, 50.0, 61.6, 0.0, 15.9, 20.9, 3.5, 0.0, 0.8, 56.0, 0.385, 9.9, 0.417], '20141201-20141214'], [[87.0, 4.5, 6.1, 113.3, 27.0, 52.9, 58.9, 0.7, 10.0, 8.0, 12.3, 0.8, 1.5, 37.1, 0.382, 13.3, 0.444], '20141214-20150101'], [[59.4, 2.0, -1.6, 96.9, 27.5, 37.8, 43.9, 2.5, 14.8, 17.3, 10.4, 0.0, 0.7, 29.3, 0.458, 12.1, 0.176], '20150101-20150114']], ""['Missouri', 'St.', 'MVC']""]"
Sean Sellers,"[[[[87.5, 11.7, 14.1, 150.1, 25.2, 76.9, 82.0, 3.7, 4.4, 7.2, 13.6, 0.0, 1.7, 46.2, 0.571, 10.3, 0.667], '20141101-20141114'], [[76.0, 6.0, 8.3, 135.8, 24.9, 66.2, 71.3, 4.4, 8.2, 18.3, 15.4, 1.0, 0.6, 50.0, 0.474, 9.6, 0.6], '20141114-20141201'], [[80.0, 0.8, -2.2, 98.1, 15.9, 47.2, 55.0, 4.6, 6.8, 11.7, 24.1, 1.2, 0.0, 44.4, 0.308, 3.2, 0.6], '20141201-20141214'], [[60.8, -0.2, -2.8, 92.5, 13.7, 53.8, 58.2, 3.2, 14.0, 0.0, 23.1, 1.5, 0.8, 53.8, 0.2, 6.3, 0.5], '20141214-20150101'], [[76.0, 2.2, 0.7, 107.6, 22.4, 46.5, 53.8, 4.5, 5.2, 6.8, 14.9, 1.9, 0.5, 44.2, 0.471, 12.4, 0.308], '20150101-20150114'], [[74.4, 2.9, 1.6, 115.9, 19.7, 64.7, 66.9, 3.3, 8.1, 5.2, 19.4, 1.3, 1.0, 33.3, 0.474, 11.1, 0.5], '20150114-20150201'], [[68.1, 1.1, -3.3, 101.4, 18.0, 48.1, 54.3, 0.0, 10.4, 7.5, 15.4, 1.1, 0.0, 57.7, 0.4, 11.6, 0.333], '20150201-20150214'], [[71.0, 1.4, 1.9, 106.4, 17.7, 61.0, 61.1, 0.8, 9.2, 1.9, 18.6, 0.0, 0.9, 12.2, 0.467, 12.2, 0.462], '20150214-20150301'], [[73.6, 2.8, 3.6, 113.0, 20.0, 50.0, 52.5, 5.6, 12.8, 15.1, 6.7, 2.6, 1.3, 23.3, 0.429, 15.4, 0.348], '20150301-20150314']], ""['Ball', 'St.', 'MAC']""]"
Corey Petros,"[[[[95.0, 10.8, 13.5, 152.2, 23.7, 83.3, 81.6, 10.2, 15.9, 34.2, 12.2, 0.0, 1.4, 58.3, 0.833, 0.0, 0.0], '20141101-20141114'], [[91.0, 4.3, 1.5, 121.8, 19.2, 68.2, 63.3, 12.6, 14.6, 14.3, 13.8, 1.3, 0.7, 59.1, 0.682, 0.0, 0.0], '20141114-20141201'], [[90.6, 3.1, 0.7, 95.6, 29.3, 55.2, 52.6, 9.9, 22.4, 11.3, 16.3, 0.0, 1.6, 51.7, 0.552, 0.0, 0.0], '20141201-20141214'], [[87.8, 0.9, -3.5, 87.5, 19.7, 45.8, 45.1, 6.6, 22.0, 11.5, 16.8, 0.0, 0.3, 37.5, 0.458, 0.0, 0.0], '20141214-20150101'], [[88.8, -1.0, -2.4, 83.5, 15.0, 30.0, 32.3, 7.6, 20.7, 17.7, 14.6, 1.9, 1.7, 50.0, 0.3, 0.0, 0.0], '20150101-20150114'], [[90.2, 4.5, 3.4, 125.0, 19.4, 65.4, 62.3, 11.3, 15.4, 11.3, 8.5, 1.2, 0.7, 46.2, 0.654, 0.0, 0.0], '20150114-20150201'], [[86.3, 6.1, 1.7, 133.4, 25.1, 61.5, 62.9, 17.8, 17.3, 17.0, 10.1, 0.7, 0.4, 40.4, 0.615, 0.0, 0.0], '20150201-20150214'], [[89.5, 4.1, 2.2, 121.7, 20.4, 63.3, 61.3, 12.3, 17.3, 6.4, 11.1, 1.7, 0.7, 59.2, 0.646, 0.3, 0.0], '20150214-20150301'], [[95.0, 1.5, -1.9, 107.2, 19.0, 45.5, 45.5, 11.1, 9.3, 20.3, 16.2, 0.0, 0.0, 0.0, 0.455, 0.0, 0.0], '20150301-20150314'], [[87.5, 4.1, -3.3, 147.2, 8.7, 85.7, 85.7, 2.7, 12.2, 4.2, 16.1, 0.0, 0.0, 0.0, 0.857, 0.0, 0.0], '20150314-20150401']], ""['Oakland', 'Horz']""]"
Zaid Hearst,"[[[[98.0, 10.5, 14.9, 144.6, 26.4, 70.0, 68.7, 10.0, 14.0, 25.8, 9.9, 1.8, 0.0, 50.0, 0.727, 11.8, 0.444], '20141101-20141114'], [[92.6, 5.0, 5.2, 116.4, 24.1, 50.0, 54.9, 7.8, 10.9, 19.5, 15.5, 1.0, 0.0, 37.3, 0.519, 7.2, 0.304], '20141114-20141201'], [[91.2, 4.1, 5.0, 123.3, 22.5, 48.8, 54.9, 5.9, 8.4, 18.2, 9.9, 0.0, 1.1, 30.2, 0.517, 7.8, 0.286], '20141201-20141214'], [[86.3, 5.7, 8.7, 130.8, 23.4, 52.9, 58.6, 6.2, 10.8, 24.4, 11.7, 0.8, 0.9, 34.6, 0.606, 8.7, 0.263], '20141214-20150101'], [[84.4, 4.8, 9.5, 117.9, 27.4, 60.7, 63.1, 7.2, 17.9, 17.0, 18.5, 0.0, 1.7, 32.8, 0.595, 8.0, 0.421], '20150101-20150114'], [[97.2, 4.9, 3.8, 112.3, 27.9, 44.2, 48.9, 7.3, 7.1, 11.8, 8.2, 0.4, 1.0, 31.7, 0.495, 6.3, 0.16], '20150114-20150201'], [[82.4, 1.0, -5.0, 91.8, 27.6, 39.3, 42.3, 8.5, 11.7, 13.4, 18.7, 1.4, 1.3, 26.2, 0.4, 6.9, 0.25], '20150201-20150214'], [[92.0, 1.6, -0.8, 98.8, 21.6, 45.5, 49.0, 4.8, 10.1, 17.4, 19.9, 1.4, 0.3, 26.9, 0.476, 7.7, 0.28], '20150214-20150301'], [[96.3, 4.0, 5.9, 110.8, 24.0, 48.4, 51.8, 4.5, 10.8, 12.8, 9.6, 3.2, 1.5, 38.7, 0.5, 14.5, 0.316], '20150301-20150314']], ""['Quinnipiac', 'MAAC']""]"
Stefan Nastic,"[[[[80.0, 10.1, 23.4, 152.8, 28.1, 78.6, 81.8, 8.9, 12.5, 35.1, 13.3, 4.2, 0.0, 28.6, 0.786, 0.0, 0.0], '20141101-20141114'], [[74.2, 4.9, 8.7, 124.2, 25.5, 51.5, 56.0, 13.8, 14.8, 22.3, 11.7, 5.3, 0.3, 41.2, 0.515, 0.0, 0.0], '20141114-20141201'], [[87.5, -0.2, 2.2, 86.3, 23.2, 40.0, 42.0, 6.7, 13.7, 0.0, 9.2, 19.0, 0.0, 40.0, 0.4, 0.0, 0.0], '20141201-20141214'], [[69.1, 2.5, -0.4, 104.3, 27.3, 48.9, 54.7, 6.7, 14.6, 7.6, 15.9, 3.1, 1.6, 33.3, 0.489, 0.0, 0.0], '20141214-20150101'], [[72.1, 1.8, -1.1, 94.7, 28.2, 41.3, 44.8, 11.5, 19.1, 5.9, 12.8, 2.8, 2.0, 31.7, 0.413, 0.0, 0.0], '20150101-20150114'], [[72.1, 3.8, -0.2, 112.0, 25.9, 56.7, 56.6, 13.3, 13.9, 8.7, 14.6, 3.5, 0.3, 46.7, 0.567, 0.0, 0.0], '20150114-20150201'], [[77.5, 1.7, -1.0, 93.1, 22.0, 36.7, 44.8, 9.1, 18.7, 7.5, 17.3, 3.2, 0.6, 40.0, 0.367, 0.0, 0.0], '20150201-20150214'], [[72.5, 3.9, 2.6, 112.1, 25.1, 44.1, 56.9, 8.8, 9.1, 4.0, 14.7, 2.7, 0.0, 94.1, 0.441, 0.0, 0.0], '20150214-20150301'], [[74.0, 4.0, 2.0, 104.9, 29.9, 48.0, 58.5, 8.4, 14.2, 14.1, 22.1, 0.8, 0.0, 70.0, 0.48, 0.0, 0.0], '20150301-20150314'], [[80.0, 2.6, 2.5, 106.3, 19.7, 42.9, 54.6, 6.2, 20.8, 11.1, 19.2, 4.1, 0.5, 78.6, 0.429, 0.0, 0.0], '20150314-20150401']], ""['Stanford', 'P12']""]"
Joseph Young,"[[[[67.5, 9.9, 36.2, 198.2, 26.8, 100.0, 100.6, 0.0, 15.1, 48.0, 7.2, 4.0, 1.9, 28.6, 0.833, 15.5, 0.75], '20141101-20141114'], [[85.4, 4.3, 6.5, 110.6, 30.5, 46.9, 55.7, 2.1, 11.6, 28.0, 19.6, 0.5, 2.2, 37.5, 0.522, 13.6, 0.28], '20141114-20141201'], [[90.0, 4.0, 4.5, 112.6, 20.7, 50.0, 54.6, 1.4, 5.3, 21.3, 11.3, 0.0, 0.8, 26.9, 0.583, 10.9, 0.286], '20141201-20141214'], [[86.5, 3.4, 4.7, 111.5, 24.1, 59.2, 60.3, 2.6, 19.4, 16.6, 20.1, 0.0, 1.2, 13.3, 0.542, 14.6, 0.417], '20141214-20150101'], [[92.5, 4.8, 6.7, 106.3, 24.8, 55.7, 58.7, 0.0, 9.7, 12.2, 15.2, 0.0, 2.1, 13.6, 0.407, 9.2, 0.529], '20150101-20150114'], [[88.8, 3.8, 2.1, 109.0, 23.4, 49.4, 52.8, 1.1, 9.1, 16.2, 11.4, 0.0, 1.3, 15.7, 0.442, 9.9, 0.378], '20150114-20150201'], [[93.8, 7.8, 7.8, 126.8, 31.7, 60.8, 64.3, 3.6, 12.5, 22.6, 12.8, 0.0, 1.2, 21.6, 0.6, 11.8, 0.414], '20150201-20150214'], [[96.0, 6.0, 7.7, 113.4, 28.0, 46.2, 49.8, 1.3, 9.4, 22.6, 4.6, 0.0, 2.6, 21.7, 0.464, 11.7, 0.306], '20150214-20150301'], [[96.5, 6.3, 6.3, 107.4, 31.2, 51.1, 55.8, 0.7, 13.4, 23.8, 15.2, 0.0, 2.2, 22.5, 0.481, 11.1, 0.371], '20150301-20150314'], [[98.3, 8.7, 8.8, 114.2, 35.5, 52.5, 57.9, 2.4, 6.3, 26.8, 10.6, 0.0, 1.6, 23.7, 0.487, 10.8, 0.4], '20150314-20150401']], ""['Oregon', 'P12']""]"
Anthony 'Cat',"[[[[72.5, 9.3, 23.2, 159.4, 29.3, 65.4, 70.4, 7.9, 11.3, 37.0, 0.0, 0.0, 3.6, 76.9, 0.5, 9.0, 0.6], '20141101-20141114'], [[74.6, 2.5, 2.9, 107.1, 23.9, 42.7, 49.7, 4.2, 10.4, 24.4, 14.8, 0.0, 2.0, 78.2, 0.422, 3.2, 0.3], '20141114-20141201'], [[75.6, 3.0, 1.3, 110.5, 21.4, 48.4, 54.3, 3.1, 11.2, 19.1, 14.3, 0.0, 0.0, 56.3, 0.519, 2.5, 0.2], '20141201-20141214'], [[78.5, 4.3, 3.4, 115.1, 23.1, 54.7, 59.7, 0.9, 12.1, 28.8, 17.1, 0.0, 0.4, 55.8, 0.579, 2.0, 0.2], '20141214-20150101'], [[72.5, 0.8, -1.7, 88.0, 18.4, 38.9, 48.7, 1.0, 5.7, 21.0, 32.0, 0.0, 1.6, 77.8, 0.438, 1.1, 0.0], '20150101-20150114'], [[59.6, 2.4, 2.1, 106.9, 18.1, 51.4, 53.5, 4.3, 5.6, 25.2, 23.1, 0.0, 2.1, 20.0, 0.414, 2.5, 0.667], '20150114-20150201'], [[92.5, 7.4, 12.2, 119.5, 25.9, 48.0, 52.6, 3.4, 4.0, 20.3, 4.2, 0.0, 3.8, 34.7, 0.432, 6.5, 0.417], '20150201-20150214'], [[84.4, 3.3, 4.1, 100.9, 26.9, 40.0, 48.3, 1.6, 6.1, 29.2, 17.9, 0.0, 2.4, 51.1, 0.353, 5.3, 0.364], '20150214-20150301'], [[81.3, 5.1, 4.8, 112.9, 26.7, 56.0, 61.7, 5.4, 8.7, 32.5, 24.1, 0.0, 1.5, 33.3, 0.481, 7.4, 0.467], '20150301-20150314'], [[85.0, 2.6, 0.1, 92.6, 24.5, 39.7, 43.9, 2.1, 9.0, 16.1, 14.8, 0.0, 0.6, 23.1, 0.393, 6.7, 0.273], '20150314-20150401']], ""['Barber', 'N.C.', 'State', 'ACC']""]"
Montrezl Harrell,"[[[[95.0, 8.8, 17.6, 144.6, 21.5, 87.5, 89.6, 0.0, 19.4, 0.0, 18.8, 0.0, 2.7, 83.3, 0.75, 5.4, 0.75], '20141101-20141114'], [[73.5, 4.6, 12.5, 128.5, 22.1, 63.5, 65.4, 8.5, 20.0, 5.9, 11.7, 3.2, 0.8, 81.3, 0.684, 3.7, 0.3], '20141114-20141201'], [[86.9, 3.1, 7.4, 106.1, 23.1, 63.8, 59.9, 14.4, 21.7, 10.3, 23.8, 4.1, 2.8, 36.2, 0.714, 2.0, 0.0], '20141201-20141214'], [[65.0, 3.7, 8.4, 107.7, 23.8, 54.3, 56.0, 12.2, 16.9, 10.5, 17.1, 3.8, 2.7, 21.3, 0.6, 3.2, 0.143], '20141214-20150101'], [[79.4, 4.3, 4.7, 119.3, 20.5, 56.9, 58.5, 11.5, 16.1, 6.0, 11.8, 3.9, 1.0, 44.4, 0.533, 2.9, 0.5], '20150101-20150114'], [[90.9, 4.7, 7.7, 115.7, 21.3, 53.2, 54.9, 10.8, 21.2, 7.7, 9.5, 3.1, 1.6, 42.6, 0.595, 2.0, 0.0], '20150114-20150201'], [[94.4, 4.8, 8.0, 109.6, 24.0, 59.5, 61.4, 8.0, 20.8, 5.3, 17.9, 6.2, 0.4, 54.8, 0.61, 0.4, 0.0], '20150201-20150214'], [[96.5, 2.6, 6.6, 98.3, 20.9, 53.0, 51.8, 7.5, 20.5, 9.6, 16.9, 3.3, 2.9, 62.0, 0.521, 0.6, 0.5], '20150214-20150301'], [[94.2, 6.6, 11.7, 114.3, 27.3, 56.6, 58.8, 12.4, 30.7, 14.3, 14.5, 2.1, 1.7, 57.9, 0.556, 1.1, 0.5], '20150301-20150314'], [[94.5, 5.4, 7.8, 116.3, 22.2, 53.5, 57.5, 6.3, 15.0, 15.0, 11.5, 3.0, 0.4, 53.5, 0.535, 0.0, 0.0], '20150314-20150401']], ""['Louisville', 'ACC']""]"
Rafael Maia,"[[[[82.5, 8.5, 8.2, 165.9, 17.0, 62.5, 74.3, 20.2, 8.9, 6.9, 0.0, 0.0, 1.9, 250.0, 0.333, 1.9, 1.0], '20141101-20141114'], [[61.4, 3.3, 2.2, 125.6, 16.7, 58.1, 64.7, 13.8, 13.0, 6.3, 14.0, 1.1, 0.3, 109.7, 0.556, 1.3, 0.5], '20141114-20141201'], [[65.0, -4.1, -9.9, 46.0, 14.5, 31.3, 32.3, 7.2, 17.7, 0.0, 49.1, 4.0, 0.8, 75.0, 0.143, 0.8, 1.0], '20141201-20141214'], [[77.5, 1.9, 2.2, 110.3, 17.2, 71.9, 61.8, 14.3, 16.6, 16.5, 21.5, 0.0, 3.1, 87.5, 0.769, 1.8, 0.333], '20141214-20150101'], [[58.8, 1.6, 1.4, 105.2, 22.6, 60.0, 66.5, 7.2, 16.6, 22.1, 27.0, 0.0, 1.2, 90.0, 0.667, 1.2, 0.0], '20150101-20150114'], [[80.6, 3.1, 4.6, 112.5, 19.8, 66.0, 61.5, 10.9, 18.6, 8.8, 14.0, 0.9, 1.9, 132.0, 0.652, 0.9, 0.5], '20150114-20150201'], [[80.6, 1.7, 2.1, 100.4, 21.5, 42.9, 44.6, 15.0, 21.2, 20.9, 14.8, 1.5, 2.7, 45.7, 0.441, 0.5, 0.0], '20150201-20150214'], [[80.5, 1.7, 3.7, 103.9, 20.6, 42.9, 47.6, 8.6, 23.1, 23.4, 13.0, 5.4, 1.9, 80.0, 0.484, 1.5, 0.0], '20150214-20150301'], [[82.5, 4.4, 5.3, 116.4, 23.6, 66.7, 62.4, 14.1, 31.6, 13.9, 15.3, 0.0, 0.9, 126.7, 0.714, 0.9, 0.0], '20150301-20150314']], ""['Brown', 'Ivy']""]"
Travis Trice,"[[[[85.0, 8.5, 23.9, 153.2, 25.0, 75.0, 74.2, 0.0, 15.5, 37.7, 0.0, 2.8, 1.8, 42.9, 0.375, 10.9, 0.833], '20141101-20141114'], [[82.9, 6.3, 11.7, 128.2, 24.9, 55.1, 57.3, 3.3, 11.5, 34.1, 9.4, 1.3, 1.3, 29.5, 0.465, 11.8, 0.422], '20141114-20141201'], [[71.2, 2.1, -0.4, 111.8, 20.0, 46.4, 47.6, 0.0, 11.3, 27.4, 17.0, 0.0, 1.4, 10.7, 0.308, 10.2, 0.4], '20141201-20141214'], [[79.1, 1.1, 5.6, 95.0, 25.2, 38.7, 42.7, 0.7, 4.2, 40.7, 17.2, 0.0, 4.0, 16.1, 0.353, 10.1, 0.286], '20141214-20150101'], [[80.0, 6.8, 14.1, 135.7, 24.6, 54.5, 58.3, 1.3, 9.3, 38.3, 5.2, 0.0, 3.2, 57.6, 0.333, 9.6, 0.533], '20150101-20150114'], [[83.4, 2.9, 3.2, 103.0, 21.8, 42.7, 44.0, 4.0, 13.4, 23.1, 14.8, 0.0, 2.9, 21.0, 0.448, 11.8, 0.273], '20150114-20150201'], [[75.2, 2.2, 2.0, 97.3, 24.6, 42.7, 44.0, 0.0, 10.8, 35.3, 17.9, 1.0, 2.8, 17.1, 0.35, 11.6, 0.333], '20150201-20150214'], [[78.5, 6.0, 7.8, 114.1, 33.4, 45.6, 51.1, 2.6, 8.4, 38.9, 8.6, 0.0, 1.2, 50.0, 0.41, 11.9, 0.345], '20150214-20150301'], [[81.5, 6.1, 11.3, 118.6, 29.4, 56.5, 59.6, 0.7, 7.6, 24.0, 10.7, 1.5, 1.2, 50.7, 0.5, 12.9, 0.424], '20150301-20150314'], [[92.8, 5.9, 7.4, 110.6, 25.4, 52.5, 57.4, 0.0, 8.1, 24.0, 15.9, 0.0, 0.9, 30.0, 0.462, 11.9, 0.39], '20150314-20150401']], ""['Michigan', 'St.', 'B10']""]"
