Player,Stats
Jock Landale,"[[[[82.5, 12.2, 17.9, 149.6, 38.5, 75.0, 77.0, 28.0, 12.5, 16.4, 10.7, 0.0, 0.0, 15.0, 0.75, 0.0, 0.0], '20161101-20161114'], [[72.0, 6.4, 13.3, 144.0, 23.5, 77.7, 78.5, 14.1, 25.6, 14.9, 15.4, 5.8, 0.9, 31.9, 0.814, 1.8, 0.25], '20161114-20161201'], [[60.0, 2.6, 4.7, 95.4, 39.6, 46.9, 53.0, 13.3, 34.1, 16.4, 24.4, 4.7, 2.7, 62.5, 0.429, 3.5, 0.5], '20161201-20161214'], [[67.5, 3.2, 5.8, 107.7, 34.4, 57.7, 61.0, 19.0, 34.3, 12.3, 23.5, 2.5, 0.5, 61.5, 0.6, 1.0, 0.0], '20161214-20170101'], [[66.9, 6.6, 15.2, 134.4, 28.3, 60.9, 62.9, 9.6, 32.5, 26.1, 8.9, 5.4, 0.6, 26.1, 0.636, 1.3, 0.0], '20170101-20170114'], [[68.5, 3.7, 1.0, 106.0, 32.8, 51.7, 51.8, 14.7, 33.9, 17.2, 13.9, 3.2, 0.5, 20.0, 0.534, 1.0, 0.0], '20170114-20170201'], [[76.3, 5.8, 8.9, 123.3, 30.5, 53.8, 59.3, 17.0, 18.2, 5.0, 9.2, 4.6, 0.0, 38.5, 0.56, 1.1, 0.0], '20170201-20170214'], [[55.6, 4.4, 10.7, 124.4, 33.0, 69.4, 70.0, 22.9, 26.0, 8.3, 17.6, 6.4, 0.0, 52.8, 0.694, 0.0, 0.0], '20170214-20170301'], [[74.2, 4.4, 6.7, 112.5, 27.6, 64.1, 66.8, 6.2, 29.3, 7.2, 20.6, 4.1, 1.4, 40.6, 0.655, 2.1, 0.333], '20170301-20170314'], [[93.8, 6.4, 10.5, 119.1, 25.1, 63.6, 63.5, 11.2, 27.0, 18.3, 15.8, 3.5, 0.8, 68.2, 0.636, 0.0, 0.0], '20170314-20170401']], '[\'Saint\', ""Mary\'s"", \'WCC\']']"
Darian Anderson,"[[[[92.5, 10.5, 17.4, 153.9, 21.3, 76.5, 77.3, 0.0, 6.6, 26.8, 0.0, 0.0, 4.6, 5.9, 0.778, 12.1, 0.5], '20161101-20161114'], [[84.4, 3.8, 3.0, 111.0, 24.7, 54.7, 59.4, 0.9, 9.8, 11.8, 12.0, 1.9, 2.6, 30.2, 0.519, 11.0, 0.385], '20161114-20161201'], [[87.5, 3.8, 2.5, 104.2, 29.4, 46.5, 50.6, 0.0, 9.2, 27.3, 11.0, 0.7, 1.2, 21.1, 0.324, 13.8, 0.412], '20161201-20161214'], [[91.9, 3.4, 1.0, 101.9, 26.7, 48.6, 52.5, 1.5, 8.6, 19.0, 13.9, 0.0, 2.9, 18.8, 0.455, 9.2, 0.36], '20161214-20170101'], [[86.3, 1.7, -1.7, 98.3, 27.3, 41.8, 47.8, 3.7, 8.1, 26.5, 19.5, 0.0, 4.0, 36.7, 0.345, 8.9, 0.35], '20170101-20170114'], [[89.3, 0.6, -0.9, 93.9, 24.6, 37.5, 44.0, 1.9, 13.5, 18.8, 13.3, 1.3, 3.0, 32.4, 0.409, 7.9, 0.208], '20170114-20170201'], [[40.0, 1.0, 5.6, 97.6, 28.5, 42.9, 46.0, 1.8, 6.7, 27.6, 9.5, 1.6, 7.2, 42.9, 0.429, 6.3, 0.286], '20170201-20170214'], [[89.0, 4.0, 6.0, 113.4, 26.0, 48.4, 56.5, 5.8, 14.7, 25.1, 18.3, 0.6, 4.1, 51.6, 0.452, 7.0, 0.364], '20170214-20170301'], [[87.5, 6.3, 14.8, 130.4, 28.2, 50.0, 58.2, 15.0, 16.3, 25.2, 12.8, 0.0, 5.4, 53.8, 0.556, 7.2, 0.25], '20170301-20170314']], ""['Fairleigh', 'Dickinson', 'NEC']""]"
Jacob Van,"[[[[65.0, 10.5, 31.0, 205.9, 24.5, 94.4, 97.0, 0.0, 11.0, 80.8, 0.0, 0.0, 2.3, 66.7, 0.667, 6.8, 1.0], '20161101-20161114'], [[71.3, 4.4, 5.0, 135.7, 20.9, 62.0, 69.0, 2.7, 10.3, 22.9, 12.9, 0.0, 1.0, 58.0, 0.485, 5.7, 0.588], '20161114-20161201'], [[85.0, 2.5, 2.0, 115.2, 17.7, 64.6, 65.4, 0.0, 11.5, 24.5, 18.8, 0.0, 1.7, 37.5, 0.533, 5.0, 0.556], '20161201-20161214'], [[67.5, 1.4, -2.4, 104.4, 17.7, 48.5, 53.0, 1.0, 13.8, 12.5, 14.7, 0.0, 0.5, 24.2, 0.35, 6.8, 0.462], '20161214-20170101'], [[80.8, 2.1, -5.3, 102.9, 20.2, 50.0, 59.4, 0.0, 8.6, 12.3, 24.1, 0.0, 1.2, 62.5, 0.706, 4.3, 0.0], '20170101-20170114'], [[80.5, 1.6, -4.2, 97.3, 20.4, 37.8, 45.6, 1.3, 9.1, 19.3, 13.5, 0.8, 1.0, 53.1, 0.424, 5.5, 0.188], '20170114-20170201'], [[71.9, 0.7, -4.2, 95.2, 17.1, 35.0, 40.8, 0.0, 7.2, 27.5, 11.8, 0.0, 1.0, 30.0, 0.375, 3.0, 0.167], '20170201-20170214'], [[61.5, 1.2, -0.7, 98.5, 20.5, 58.3, 66.9, 0.0, 7.3, 26.1, 32.5, 0.0, 1.0, 58.3, 0.571, 4.8, 0.4], '20170214-20170301'], [[68.8, 1.8, -1.1, 100.1, 21.1, 44.6, 56.0, 0.0, 3.4, 19.4, 17.7, 0.0, 1.1, 71.4, 0.471, 5.9, 0.273], '20170301-20170314']], ""['Air', 'Force', 'MWC']""]"
Hudson Price,"[[[[65.0, 9.9, 21.7, 202.6, 16.5, 133.3, 117.3, 0.0, 9.0, 6.2, 11.3, 0.0, 3.8, 133.3, 1.0, 7.5, 1.0], '20161101-20161114'], [[48.2, 2.8, 1.4, 135.5, 12.7, 72.7, 75.8, 1.8, 10.2, 7.2, 14.4, 0.0, 2.3, 54.5, 0.667, 7.3, 0.5], '20161114-20161201'], [[60.0, -2.6, -8.2, 66.0, 10.5, 31.3, 31.3, 2.2, 5.3, 7.6, 22.1, 0.0, 0.0, 0.0, 0.5, 6.9, 0.167], '20161201-20161214'], [[47.5, -0.9, -2.7, 81.5, 11.0, 45.8, 48.1, 0.0, 11.8, 0.0, 16.5, 3.5, 1.8, 8.3, 0.25, 7.3, 0.375], '20161214-20170101'], [[51.5, 0.8, -3.6, 111.9, 12.9, 69.0, 68.4, 3.2, 9.5, 3.1, 24.0, 0.0, 0.0, 23.8, 0.667, 7.8, 0.467], '20170101-20170114'], [[53.1, -0.7, -4.7, 93.4, 9.3, 57.7, 55.7, 2.4, 12.6, 0.0, 20.5, 0.0, 1.3, 7.7, 0.75, 5.7, 0.333], '20170114-20170201'], [[48.1, 0.0, 2.1, 95.9, 15.4, 36.8, 40.7, 4.7, 9.8, 11.0, 4.7, 3.1, 3.6, 21.1, 0.5, 12.4, 0.235], '20170201-20170214'], [[57.5, -0.6, -3.4, 91.9, 11.3, 53.6, 53.6, 1.7, 9.4, 0.0, 14.5, 3.0, 1.6, 0.0, 0.429, 5.7, 0.429], '20170301-20170314']], ""['Charlotte', 'CUSA']""]"
Eric Mika,"[[[[85.0, 9.5, 17.9, 135.3, 30.9, 50.0, 64.4, 25.2, 22.5, 22.4, 9.4, 6.4, 1.5, 92.9, 0.5, 0.0, 0.0], '20161101-20161114'], [[59.6, 4.2, 12.2, 121.9, 29.9, 60.5, 66.6, 12.1, 19.5, 12.4, 15.5, 8.9, 1.7, 76.3, 0.613, 0.3, 0.0], '20161114-20161201'], [[72.5, 5.2, 8.8, 113.2, 38.5, 48.8, 58.5, 15.2, 16.1, 25.1, 17.1, 5.0, 0.0, 90.7, 0.488, 0.0, 0.0], '20161201-20161214'], [[69.0, 2.8, -2.3, 96.8, 35.1, 46.4, 52.6, 12.6, 22.6, 6.2, 17.7, 4.2, 0.8, 59.4, 0.464, 0.0, 0.0], '20161214-20170101'], [[72.5, 7.0, 14.1, 135.1, 29.8, 63.6, 67.4, 12.4, 30.0, 21.6, 8.1, 7.4, 0.5, 36.4, 0.636, 0.0, 0.0], '20170101-20170114'], [[81.0, 3.4, 6.6, 112.2, 26.4, 51.5, 59.2, 7.7, 25.8, 9.2, 14.5, 9.9, 0.6, 56.1, 0.515, 0.0, 0.0], '20170114-20170201'], [[71.9, 2.8, 3.5, 98.9, 31.7, 42.6, 51.9, 11.1, 20.6, 10.1, 16.0, 7.9, 1.4, 83.0, 0.426, 0.0, 0.0], '20170201-20170214'], [[83.8, 5.6, 7.5, 117.4, 28.2, 50.0, 55.5, 10.5, 18.2, 12.4, 8.9, 5.3, 1.3, 74.1, 0.5, 0.0, 0.0], '20170214-20170301'], [[70.0, 3.6, -0.5, 100.3, 35.3, 50.0, 54.2, 11.7, 20.7, 23.8, 20.8, 2.3, 1.1, 32.1, 0.5, 0.0, 0.0], '20170301-20170314'], [[85.0, 8.9, 11.5, 147.3, 25.4, 61.5, 70.4, 11.5, 9.5, 12.7, 5.6, 2.6, 1.4, 123.1, 0.615, 0.0, 0.0], '20170314-20170401']], ""['BYU', 'WCC']""]"
Malcolm Hill,"[[[[86.3, 9.5, 20.3, 146.8, 32.2, 66.2, 70.9, 9.5, 23.8, 17.1, 5.1, 0.0, 1.6, 55.9, 0.6, 11.6, 0.5], '20161101-20161114'], [[79.0, 2.9, 4.8, 103.3, 26.6, 46.7, 54.7, 4.9, 21.7, 11.5, 18.9, 0.6, 1.7, 60.7, 0.343, 8.7, 0.423], '20161114-20161201'], [[83.3, 4.1, 6.9, 119.7, 25.2, 56.1, 60.3, 0.0, 13.1, 18.3, 13.6, 2.4, 1.1, 36.6, 0.519, 8.0, 0.429], '20161201-20161214'], [[83.1, 5.4, 9.4, 122.3, 24.3, 52.2, 58.8, 5.0, 13.7, 15.9, 8.8, 1.5, 1.7, 69.6, 0.517, 7.2, 0.353], '20161214-20170101'], [[78.8, 4.5, 4.1, 112.5, 27.5, 46.7, 56.0, 1.0, 21.2, 17.5, 12.2, 0.9, 0.5, 63.0, 0.567, 7.7, 0.188], '20170101-20170114'], [[82.9, 3.1, 7.2, 101.8, 23.9, 47.9, 50.8, 1.7, 15.4, 28.5, 16.9, 1.7, 1.8, 16.7, 0.571, 9.3, 0.233], '20170114-20170201'], [[83.3, 2.0, 3.4, 88.3, 28.2, 42.9, 48.1, 3.6, 13.5, 21.7, 21.0, 1.0, 3.5, 45.7, 0.522, 7.1, 0.167], '20170201-20170214'], [[93.1, 6.8, 11.5, 123.1, 25.7, 55.6, 60.3, 2.5, 13.3, 24.6, 9.3, 0.0, 3.2, 48.1, 0.484, 9.2, 0.435], '20170214-20170301'], [[85.6, 4.9, 9.4, 112.6, 26.3, 45.2, 52.1, 2.7, 6.8, 19.5, 6.8, 1.7, 3.1, 50.0, 0.385, 11.6, 0.346], '20170301-20170314'], [[80.8, 7.1, 17.8, 134.5, 24.8, 63.4, 67.0, 5.7, 8.9, 12.8, 4.8, 2.6, 2.9, 46.3, 0.533, 15.3, 0.462], '20170314-20170401']], ""['Illinois', 'B10']""]"
Marquis Wright,"[[[[95.0, 9.4, 12.9, 150.8, 26.8, 61.1, 66.7, 5.3, 8.1, 28.4, 0.0, 0.0, 1.4, 61.1, 0.5, 11.1, 0.5], '20161101-20161114'], [[77.9, 3.4, 3.4, 105.4, 29.5, 49.4, 51.1, 4.3, 8.3, 30.1, 14.3, 0.5, 1.5, 35.6, 0.431, 8.7, 0.414], '20161114-20161201'], [[85.0, 0.6, -3.0, 87.8, 25.0, 26.8, 35.3, 4.5, 12.1, 34.3, 14.6, 0.9, 1.1, 36.6, 0.355, 5.2, 0.0], '20161201-20161214'], [[55.0, 1.0, -0.3, 96.1, 23.4, 37.5, 41.0, 3.2, 11.5, 39.6, 11.4, 0.0, 1.8, 25.0, 0.333, 5.3, 0.333], '20161214-20170101'], [[93.1, 1.9, 1.1, 101.7, 23.2, 44.3, 49.6, 4.5, 10.7, 20.8, 19.4, 0.7, 2.3, 37.7, 0.41, 5.3, 0.357], '20170101-20170114'], [[75.0, 0.7, -4.9, 90.5, 25.1, 40.0, 42.6, 4.1, 8.4, 26.6, 20.9, 0.6, 1.3, 29.2, 0.378, 6.6, 0.3], '20170114-20170201'], [[96.9, 5.8, 5.5, 121.3, 28.7, 54.2, 60.1, 3.0, 7.9, 32.6, 14.8, 0.0, 2.1, 33.8, 0.521, 8.1, 0.391], '20170201-20170214'], [[86.9, 4.3, 4.7, 116.6, 27.6, 58.8, 61.1, 4.4, 11.3, 30.3, 21.5, 0.8, 2.4, 28.1, 0.526, 7.5, 0.474], '20170214-20170301'], [[88.8, 4.2, -0.6, 106.3, 31.2, 43.1, 50.0, 6.3, 7.7, 31.1, 22.9, 0.0, 2.6, 41.2, 0.448, 11.2, 0.273], '20170301-20170314']], ""['Siena', 'MAAC']""]"
Peyton Aldridge,"[[[[100.0, 9.2, 14.5, 156.7, 21.5, 72.2, 74.3, 2.6, 15.4, 10.5, 0.0, 2.7, 0.0, 33.3, 0.583, 8.1, 0.667], '20161101-20161114'], [[87.5, 3.1, 4.9, 109.5, 22.8, 52.3, 56.6, 4.5, 15.7, 12.5, 14.2, 2.7, 0.6, 31.8, 0.571, 7.8, 0.292], '20161114-20161201'], [[73.8, 4.0, 4.8, 100.6, 33.9, 50.0, 53.4, 3.5, 14.3, 6.1, 14.0, 1.8, 0.0, 25.0, 0.522, 12.4, 0.308], '20161201-20161214'], [[88.1, 7.8, 12.8, 149.7, 21.5, 70.8, 73.7, 7.6, 16.6, 15.2, 5.6, 3.8, 0.8, 32.1, 0.6, 7.3, 0.611], '20161214-20170101'], [[97.5, 7.0, 12.6, 130.8, 22.4, 57.8, 65.9, 4.2, 21.1, 11.5, 6.8, 3.5, 3.1, 58.8, 0.594, 7.2, 0.368], '20170101-20170114'], [[93.5, 6.0, 10.0, 120.4, 27.4, 60.9, 63.3, 5.8, 20.3, 16.2, 12.2, 1.0, 2.7, 20.7, 0.527, 9.7, 0.5], '20170114-20170201'], [[86.7, 0.4, -2.4, 83.6, 22.8, 42.5, 44.2, 4.7, 15.7, 9.1, 14.3, 0.9, 1.1, 10.0, 0.483, 6.0, 0.182], '20170201-20170214'], [[95.6, 5.0, 9.6, 114.7, 25.1, 54.8, 57.5, 6.3, 22.7, 15.4, 9.2, 3.6, 2.3, 22.6, 0.423, 9.2, 0.5], '20170214-20170301'], [[97.6, 5.9, 5.8, 117.9, 24.2, 55.7, 60.9, 4.9, 27.6, 14.6, 10.9, 1.9, 0.0, 47.2, 0.688, 7.9, 0.238], '20170301-20170314']], ""['Davidson', 'A10']""]"
T.J. Williams,"[[[[95.0, 8.5, 12.9, 131.2, 29.7, 61.7, 65.7, 4.4, 10.3, 44.5, 15.0, 0.0, 2.2, 56.7, 0.538, 3.0, 0.75], '20161101-20161114'], [[89.2, 6.4, 7.3, 125.1, 29.5, 53.8, 62.5, 1.7, 10.1, 44.7, 13.6, 0.0, 1.6, 74.4, 0.524, 4.0, 0.4], '20161114-20161201'], [[95.0, 4.1, 2.3, 106.4, 27.5, 61.4, 61.4, 2.2, 10.9, 25.9, 22.8, 0.0, 2.1, 68.6, 0.607, 3.7, 0.429], '20161201-20161214'], [[99.2, 3.6, 3.9, 102.4, 26.9, 50.0, 55.0, 3.2, 20.5, 24.9, 22.7, 0.0, 3.8, 46.3, 0.516, 4.7, 0.3], '20161214-20170101'], [[89.8, 6.2, 4.9, 122.3, 31.6, 62.1, 66.4, 3.0, 13.3, 35.5, 19.0, 0.6, 1.7, 56.1, 0.605, 7.6, 0.435], '20170101-20170114'], [[97.5, 3.4, -0.1, 99.6, 31.6, 55.7, 59.2, 3.8, 8.2, 16.8, 21.7, 0.6, 0.9, 58.6, 0.574, 7.2, 0.348], '20170114-20170201'], [[73.1, 2.0, -5.1, 92.9, 32.1, 39.6, 45.0, 0.0, 13.9, 28.9, 16.2, 2.0, 0.0, 47.9, 0.4, 4.2, 0.25], '20170201-20170214'], [[97.6, 6.4, 3.3, 114.1, 33.9, 42.1, 52.4, 3.4, 11.2, 31.2, 7.5, 0.0, 1.1, 56.6, 0.441, 6.2, 0.235], '20170214-20170301'], [[97.5, -0.9, -10.5, 69.9, 33.4, 18.8, 35.3, 0.0, 7.1, 37.6, 22.9, 0.0, 0.0, 68.8, 0.25, 6.1, 0.0], '20170301-20170314']], ""['Northeastern', 'CAA']""]"
Conner Toolson,"[[[[67.5, 8.3, 16.9, 143.2, 22.1, 75.0, 70.8, 3.1, 4.4, 32.6, 0.0, 0.0, 0.0, 25.0, 0.6, 13.1, 0.571], '20161101-20161114'], [[66.3, 1.6, 1.4, 108.3, 20.1, 55.4, 60.5, 2.8, 8.6, 6.5, 15.6, 0.8, 3.6, 43.2, 0.588, 9.0, 0.35], '20161114-20161201'], [[77.6, 3.8, 6.3, 115.7, 23.2, 59.8, 62.7, 2.5, 15.0, 11.0, 9.5, 0.0, 2.7, 26.8, 0.63, 7.7, 0.357], '20161201-20161214'], [[70.0, 1.1, -1.1, 96.2, 22.7, 47.8, 50.7, 3.8, 13.5, 11.5, 14.7, 1.8, 1.0, 15.6, 0.5, 11.0, 0.304], '20161214-20170101'], [[80.8, -0.6, -5.0, 81.3, 22.2, 39.4, 41.4, 4.2, 10.2, 12.5, 16.7, 1.0, 0.0, 51.5, 0.412, 8.5, 0.25], '20170101-20170114'], [[70.0, 1.3, -1.9, 100.9, 19.8, 40.9, 51.8, 3.2, 4.5, 10.6, 14.0, 0.0, 1.4, 60.6, 0.692, 9.3, 0.15], '20170114-20170201'], [[67.5, 0.1, -1.7, 96.7, 16.0, 54.3, 54.3, 1.3, 11.7, 14.5, 21.0, 2.8, 0.7, 0.0, 0.833, 11.4, 0.294], '20170201-20170214'], [[56.3, 0.9, 0.4, 98.5, 18.9, 60.9, 63.4, 1.5, 18.0, 12.6, 28.2, 0.0, 2.4, 34.8, 0.455, 7.1, 0.5], '20170214-20170301'], [[50.0, -1.3, -3.7, 62.4, 24.9, 30.0, 36.5, 0.0, 17.6, 4.0, 27.0, 1.6, 5.1, 32.0, 0.3, 12.6, 0.2], '20170301-20170314'], [[75.0, 1.1, -2.2, 94.6, 24.3, 38.5, 44.6, 3.6, 15.1, 10.3, 12.7, 0.0, 1.2, 25.6, 0.391, 9.8, 0.25], '20170314-20170401']], ""['Utah', 'Valley', 'WAC']""]"
